Run AICc
27 v6.TwoPrecursor.34 438.867901833864
40 v6.TwoPrecursor.47 446.370079766795
86 v6.TwoPrecursor.96 446.370079794006
45 v6.TwoPrecursor.53 446.370079804454
67 v6.TwoPrecursor.76 446.370079805297
3 v6.TwoPrecursor.100 446.370079809677
53 v6.TwoPrecursor.62 446.3700798128
13 v6.TwoPrecursor.20 446.370079833245
28 v6.TwoPrecursor.35 446.370079835878
71 v6.TwoPrecursor.8 446.37007983595
23 v6.TwoPrecursor.3 446.37007984914
82 v6.TwoPrecursor.91 446.37007985199
65 v6.TwoPrecursor.74 446.370079875785
5 v6.TwoPrecursor.12 446.370079889342
20 v6.TwoPrecursor.27 446.370079889582
39 v6.TwoPrecursor.46 446.370079889965
12 v6.TwoPrecursor.2 446.370079893159
83 v6.TwoPrecursor.92 446.370079910963
51 v6.TwoPrecursor.6 446.370079935775
77 v6.TwoPrecursor.85 446.370079936938
34 v6.TwoPrecursor.40 446.370079939799
9 v6.TwoPrecursor.17 446.370079962653
70 v6.TwoPrecursor.79 446.370079972911
41 v6.TwoPrecursor.48 446.37007999407
36 v6.TwoPrecursor.42 446.370079999979
62 v6.TwoPrecursor.71 446.370080061186
88 v6.TwoPrecursor.98 446.370080068189
25 v6.TwoPrecursor.32 446.370080072305
31 v6.TwoPrecursor.38 446.370080084152
48 v6.TwoPrecursor.57 446.370080102436
50 v6.TwoPrecursor.59 446.370080142815
84 v6.TwoPrecursor.93 446.370080161676
14 v6.TwoPrecursor.21 446.370080196227
89 v6.TwoPrecursor.99 446.370080231877
21 v6.TwoPrecursor.28 446.370080238858
63 v6.TwoPrecursor.72 446.370080269078
18 v6.TwoPrecursor.25 446.370080279679
43 v6.TwoPrecursor.51 446.370080299043
4 v6.TwoPrecursor.11 446.370080306067
59 v6.TwoPrecursor.68 446.370080312111
33 v6.TwoPrecursor.4 446.370080320584
16 v6.TwoPrecursor.23 446.370080338094
38 v6.TwoPrecursor.45 446.370080363409
6 v6.TwoPrecursor.13 446.370080363594
32 v6.TwoPrecursor.39 446.37008040916
42 v6.TwoPrecursor.49 446.370080467921
2 v6.TwoPrecursor.10 446.370080470656
73 v6.TwoPrecursor.81 446.370080520042
78 v6.TwoPrecursor.87 446.370080537747
52 v6.TwoPrecursor.60 446.370080633295
57 v6.TwoPrecursor.66 446.370080685362
8 v6.TwoPrecursor.16 446.370080747494
47 v6.TwoPrecursor.56 446.370080749092
60 v6.TwoPrecursor.69 446.370080799915
29 v6.TwoPrecursor.36 446.370080843693
26 v6.TwoPrecursor.33 446.370080988052
79 v6.TwoPrecursor.88 446.370081027046
44 v6.TwoPrecursor.52 446.370081034791
24 v6.TwoPrecursor.31 446.370081060598
64 v6.TwoPrecursor.73 446.370081094846
1 v6.TwoPrecursor.1 446.370081097869
10 v6.TwoPrecursor.18 446.370081338249
46 v6.TwoPrecursor.54 446.370081366404
30 v6.TwoPrecursor.37 446.370081491243
22 v6.TwoPrecursor.29 446.370081636148
66 v6.TwoPrecursor.75 446.370081672201
11 v6.TwoPrecursor.19 446.370081723702
87 v6.TwoPrecursor.97 446.370082188967
80 v6.TwoPrecursor.89 446.370082415256
35 v6.TwoPrecursor.41 446.370082677854
68 v6.TwoPrecursor.77 446.370082999709
7 v6.TwoPrecursor.14 446.370083119367
85 v6.TwoPrecursor.95 446.370083575449
75 v6.TwoPrecursor.83 446.370083790058
58 v6.TwoPrecursor.67 446.370083992885
54 v6.TwoPrecursor.63 446.370084374214
61 v6.TwoPrecursor.70 446.370084468945
69 v6.TwoPrecursor.78 446.370084698728
81 v6.TwoPrecursor.9 446.370085216547
37 v6.TwoPrecursor.44 446.370086361793
76 v6.TwoPrecursor.84 446.370086823259
56 v6.TwoPrecursor.65 446.370088233579
17 v6.TwoPrecursor.24 446.370088325933
55 v6.TwoPrecursor.64 446.370088888264
72 v6.TwoPrecursor.80 446.370089399393
49 v6.TwoPrecursor.58 446.370108980454
15 v6.TwoPrecursor.22 483.378705728395
19 v6.TwoPrecursor.26 483.378826528437
74 v6.TwoPrecursor.82 483.379060250992
