Run AICc
36 AncPres.Three.Precursor.42 412.879057225895
90 AncPres.Three.Precursor.93 412.879070560052
26 AncPres.Three.Precursor.32 412.879071805732
33 AncPres.Three.Precursor.4 412.879082012957
45 AncPres.Three.Precursor.50 412.879090332536
9 AncPres.Three.Precursor.16 412.87909410881
92 AncPres.Three.Precursor.95 412.879113070404
50 AncPres.Three.Precursor.55 412.879121486338
53 AncPres.Three.Precursor.58 412.879133366658
74 AncPres.Three.Precursor.78 412.879201907396
42 AncPres.Three.Precursor.48 412.879203863129
56 AncPres.Three.Precursor.60 412.879207082235
89 AncPres.Three.Precursor.92 412.879210464673
35 AncPres.Three.Precursor.41 412.879410029222
13 AncPres.Three.Precursor.2 412.879500417807
73 AncPres.Three.Precursor.77 412.879513279713
91 AncPres.Three.Precursor.94 412.881174746638
6 AncPres.Three.Precursor.13 413.00663830423
39 AncPres.Three.Precursor.45 418.596475691167
11 AncPres.Three.Precursor.18 418.598970245536
67 AncPres.Three.Precursor.70 418.970441727758
12 AncPres.Three.Precursor.19 419.000978848607
69 AncPres.Three.Precursor.72 419.016321238605
4 AncPres.Three.Precursor.11 419.9921251869
84 AncPres.Three.Precursor.87 419.992204060776
41 AncPres.Three.Precursor.47 419.992219041248
38 AncPres.Three.Precursor.44 419.992237857208
78 AncPres.Three.Precursor.81 419.992314794336
14 AncPres.Three.Precursor.20 419.992338710576
49 AncPres.Three.Precursor.54 419.992408416272
85 AncPres.Three.Precursor.88 419.992427430614
20 AncPres.Three.Precursor.26 419.992473845764
31 AncPres.Three.Precursor.38 419.992476365158
82 AncPres.Three.Precursor.85 419.992545016796
27 AncPres.Three.Precursor.33 419.992579547163
86 AncPres.Three.Precursor.89 419.992871540072
76 AncPres.Three.Precursor.8 419.993787412383
81 AncPres.Three.Precursor.84 419.994630601003
25 AncPres.Three.Precursor.31 424.744726146962
1 AncPres.Three.Precursor.1 424.754636574352
66 AncPres.Three.Precursor.7 426.139014372634
17 AncPres.Three.Precursor.23 426.558010254646
29 AncPres.Three.Precursor.35 426.558121241392
23 AncPres.Three.Precursor.3 426.559048765966
75 AncPres.Three.Precursor.79 428.298213106735
21 AncPres.Three.Precursor.27 428.298216432139
40 AncPres.Three.Precursor.46 428.298224622323
62 AncPres.Three.Precursor.66 428.298261852803
16 AncPres.Three.Precursor.22 428.29830694076
54 AncPres.Three.Precursor.59 428.298334159879
63 AncPres.Three.Precursor.67 428.298504066372
61 AncPres.Three.Precursor.65 428.298540382636
77 AncPres.Three.Precursor.80 428.298894731188
37 AncPres.Three.Precursor.43 429.584460591518
87 AncPres.Three.Precursor.90 429.58770212987
94 AncPres.Three.Precursor.97 431.122506445567
80 AncPres.Three.Precursor.83 431.122506739547
47 AncPres.Three.Precursor.52 431.122507571952
59 AncPres.Three.Precursor.63 431.122510828556
44 AncPres.Three.Precursor.5 431.122519341771
24 AncPres.Three.Precursor.30 431.122519876893
60 AncPres.Three.Precursor.64 431.122535048634
8 AncPres.Three.Precursor.15 431.122605339801
30 AncPres.Three.Precursor.36 431.122725068352
58 AncPres.Three.Precursor.62 431.123093938615
2 AncPres.Three.Precursor.10 431.123106333142
32 AncPres.Three.Precursor.39 431.123244019746
18 AncPres.Three.Precursor.24 433.98493661189
43 AncPres.Three.Precursor.49 433.989085829049
55 AncPres.Three.Precursor.6 434.044591772128
71 AncPres.Three.Precursor.74 434.58827330352
96 AncPres.Three.Precursor.99 436.694983788631
5 AncPres.Three.Precursor.12 440.357505774361
79 AncPres.Three.Precursor.82 440.357505846851
19 AncPres.Three.Precursor.25 440.357506765493
22 AncPres.Three.Precursor.28 440.357513232645
52 AncPres.Three.Precursor.57 441.106705541624
34 AncPres.Three.Precursor.40 441.124855179825
95 AncPres.Three.Precursor.98 441.124977302581
57 AncPres.Three.Precursor.61 441.12520967331
72 AncPres.Three.Precursor.75 441.12719344596
70 AncPres.Three.Precursor.73 441.127279736834
15 AncPres.Three.Precursor.21 441.127294251024
68 AncPres.Three.Precursor.71 441.127404545993
64 AncPres.Three.Precursor.68 441.127519905773
10 AncPres.Three.Precursor.17 441.127764365927
88 AncPres.Three.Precursor.91 441.128054141767
3 AncPres.Three.Precursor.100 442.954023522653
48 AncPres.Three.Precursor.53 442.95514268501
7 AncPres.Three.Precursor.14 444.182062420583
93 AncPres.Three.Precursor.96 445.561903300272
28 AncPres.Three.Precursor.34 445.562052632883
51 AncPres.Three.Precursor.56 445.562083796208
65 AncPres.Three.Precursor.69 445.562366562831
46 AncPres.Three.Precursor.51 483.932557961108
83 AncPres.Three.Precursor.86 484.490549995116
