Run likelihood
4 edit.Three.Precursor.11 -231.257918161089
52 edit.Three.Precursor.55 -220.136908483433
1 edit.Three.Precursor.1 -220.136709434569
56 edit.Three.Precursor.59 -219.444102708982
88 edit.Three.Precursor.88 -211.78113644694
82 edit.Three.Precursor.82 -211.781018933096
51 edit.Three.Precursor.54 -211.781018236645
86 edit.Three.Precursor.86 -211.781017765988
50 edit.Three.Precursor.53 -211.781016446562
19 edit.Three.Precursor.25 -211.781011995574
25 edit.Three.Precursor.30 -211.780643610178
64 edit.Three.Precursor.66 -211.779573148751
63 edit.Three.Precursor.65 -211.779450777512
46 edit.Three.Precursor.5 -209.569568140021
80 edit.Three.Precursor.80 -209.56372674115
92 edit.Three.Precursor.91 -209.542363176378
6 edit.Three.Precursor.13 -209.178756315544
94 edit.Three.Precursor.93 -209.178752883867
67 edit.Three.Precursor.69 -206.691532002819
72 edit.Three.Precursor.73 -206.278460867039
95 edit.Three.Precursor.94 -206.230729010291
32 edit.Three.Precursor.37 -206.124103134483
39 edit.Three.Precursor.43 -206.121030799214
93 edit.Three.Precursor.92 -206.06627336167
53 edit.Three.Precursor.56 -206.022407221621
2 edit.Three.Precursor.10 -204.562916587571
74 edit.Three.Precursor.75 -204.562797729866
83 edit.Three.Precursor.83 -204.562614575665
35 edit.Three.Precursor.4 -204.561880280764
34 edit.Three.Precursor.39 -204.561660607978
49 edit.Three.Precursor.52 -204.561605016724
22 edit.Three.Precursor.28 -204.561336692639
60 edit.Three.Precursor.62 -204.561320620286
87 edit.Three.Precursor.87 -204.561298041251
54 edit.Three.Precursor.57 -204.561286574063
3 edit.Three.Precursor.100 -204.561282450641
75 edit.Three.Precursor.76 -204.561265082683
44 edit.Three.Precursor.48 -204.561264968886
31 edit.Three.Precursor.36 -204.56126383841
61 edit.Three.Precursor.63 -204.561261529527
69 edit.Three.Precursor.70 -204.561261069715
45 edit.Three.Precursor.49 -204.561255994511
71 edit.Three.Precursor.72 -204.561255583865
55 edit.Three.Precursor.58 -204.561253630498
98 edit.Three.Precursor.97 -204.561253601138
65 edit.Three.Precursor.67 -204.561253373037
23 edit.Three.Precursor.29 -204.561253322713
42 edit.Three.Precursor.46 -204.561253119923
5 edit.Three.Precursor.12 -204.561252969281
77 edit.Three.Precursor.78 -204.084355910903
9 edit.Three.Precursor.16 -203.792517224606
89 edit.Three.Precursor.89 -203.792466934882
59 edit.Three.Precursor.61 -203.149326846787
21 edit.Three.Precursor.27 -203.149213239598
99 edit.Three.Precursor.98 -203.14920257448
17 edit.Three.Precursor.23 -203.149192354505
48 edit.Three.Precursor.51 -203.149180950613
30 edit.Three.Precursor.35 -203.149177216014
10 edit.Three.Precursor.17 -203.149149592921
27 edit.Three.Precursor.32 -203.14914933392
58 edit.Three.Precursor.60 -203.149131636414
84 edit.Three.Precursor.84 -203.149125972075
97 edit.Three.Precursor.96 -203.149101020446
33 edit.Three.Precursor.38 -202.069508121176
36 edit.Three.Precursor.40 -200.040281244062
81 edit.Three.Precursor.81 -200.035606562569
15 edit.Three.Precursor.21 -198.997430790694
96 edit.Three.Precursor.95 -198.996551307798
100 edit.Three.Precursor.99 -198.996435725585
43 edit.Three.Precursor.47 -198.996414401343
37 edit.Three.Precursor.41 -198.996303745467
14 edit.Three.Precursor.20 -198.996282706596
28 edit.Three.Precursor.33 -198.996274589425
13 edit.Three.Precursor.2 -198.99616127106
38 edit.Three.Precursor.42 -198.996132065661
70 edit.Three.Precursor.71 -198.996123233903
29 edit.Three.Precursor.34 -198.996120757775
18 edit.Three.Precursor.24 -198.996114322406
16 edit.Three.Precursor.22 -198.996104637315
73 edit.Three.Precursor.74 -198.996035345609
20 edit.Three.Precursor.26 -198.482062419557
78 edit.Three.Precursor.79 -195.439582093247
7 edit.Three.Precursor.14 -195.439568016856
66 edit.Three.Precursor.68 -195.439546772961
11 edit.Three.Precursor.18 -195.439542758001
57 edit.Three.Precursor.6 -195.439541982648
62 edit.Three.Precursor.64 -195.439535498117
90 edit.Three.Precursor.9 -195.439534902
24 edit.Three.Precursor.3 -195.439533321996
79 edit.Three.Precursor.8 -195.439530696751
26 edit.Three.Precursor.31 -195.439529788361
8 edit.Three.Precursor.15 -195.43952915349
47 edit.Three.Precursor.50 -195.439528165109
91 edit.Three.Precursor.90 -195.439526963534
68 edit.Three.Precursor.7 -195.439526548853
12 edit.Three.Precursor.19 -195.43952573693
40 edit.Three.Precursor.44 -195.439525712388
85 edit.Three.Precursor.85 -195.439524663503
76 edit.Three.Precursor.77 -195.439512412815
41 edit.Three.Precursor.45 -195.439442652586
