Run likelihood
9 v6.Three.Precursor.16 -236.290516235991
50 v6.Three.Precursor.53 -224.874139841563
36 v6.Three.Precursor.40 -224.87192040927
72 v6.Three.Precursor.73 -220.018303436349
22 v6.Three.Precursor.28 -218.590524715343
89 v6.Three.Precursor.89 -218.590524084044
80 v6.Three.Precursor.80 -218.590502214869
64 v6.Three.Precursor.66 -218.59050194212
56 v6.Three.Precursor.59 -218.590467005676
6 v6.Three.Precursor.13 -218.590061292105
92 v6.Three.Precursor.91 -214.148617077976
65 v6.Three.Precursor.67 -213.750914528804
94 v6.Three.Precursor.93 -213.750913779367
15 v6.Three.Precursor.21 -210.971521972389
30 v6.Three.Precursor.35 -209.59713992479
75 v6.Three.Precursor.76 -209.581425776156
37 v6.Three.Precursor.41 -209.581164117197
27 v6.Three.Precursor.32 -209.581055667245
20 v6.Three.Precursor.26 -209.580965873446
59 v6.Three.Precursor.61 -209.580959485932
10 v6.Three.Precursor.17 -209.580948698183
32 v6.Three.Precursor.37 -209.580917964855
29 v6.Three.Precursor.34 -209.580886394267
70 v6.Three.Precursor.71 -209.580883850104
100 v6.Three.Precursor.99 -209.580872730732
58 v6.Three.Precursor.60 -209.580862378077
69 v6.Three.Precursor.70 -209.580841536332
3 v6.Three.Precursor.100 -209.580838310239
96 v6.Three.Precursor.95 -209.580837718223
55 v6.Three.Precursor.58 -209.580831294802
5 v6.Three.Precursor.12 -209.580827292261
7 v6.Three.Precursor.14 -209.580814283845
43 v6.Three.Precursor.47 -209.580796429553
90 v6.Three.Precursor.9 -209.580789039945
81 v6.Three.Precursor.81 -209.580787903409
21 v6.Three.Precursor.27 -209.347274937727
8 v6.Three.Precursor.15 -209.346660612322
63 v6.Three.Precursor.65 -209.326722715477
86 v6.Three.Precursor.86 -208.947825642249
14 v6.Three.Precursor.20 -208.94536960205
51 v6.Three.Precursor.54 -208.940178435046
52 v6.Three.Precursor.55 -208.936209282091
95 v6.Three.Precursor.94 -208.93606073245
82 v6.Three.Precursor.82 -208.927143831066
1 v6.Three.Precursor.1 -207.17408361956
48 v6.Three.Precursor.51 -206.997097468964
98 v6.Three.Precursor.97 -206.996307582847
61 v6.Three.Precursor.63 -206.996153719158
23 v6.Three.Precursor.29 -206.996035294251
88 v6.Three.Precursor.88 -206.995998444808
16 v6.Three.Precursor.22 -206.995976031055
18 v6.Three.Precursor.24 -205.962667267245
24 v6.Three.Precursor.3 -205.809818247996
57 v6.Three.Precursor.6 -205.66362895185
99 v6.Three.Precursor.98 -205.645436451333
17 v6.Three.Precursor.23 -205.413241030747
25 v6.Three.Precursor.30 -205.412810738058
49 v6.Three.Precursor.52 -205.401322853455
84 v6.Three.Precursor.84 -205.401126049875
42 v6.Three.Precursor.46 -205.40101301051
71 v6.Three.Precursor.72 -205.400922400933
34 v6.Three.Precursor.39 -205.400918594907
19 v6.Three.Precursor.25 -205.400910187401
47 v6.Three.Precursor.50 -205.400898207736
62 v6.Three.Precursor.64 -205.400888531285
41 v6.Three.Precursor.45 -205.400888508672
38 v6.Three.Precursor.42 -204.718410335948
46 v6.Three.Precursor.5 -204.718406925342
60 v6.Three.Precursor.62 -204.718395314361
68 v6.Three.Precursor.7 -204.718377428444
77 v6.Three.Precursor.78 -204.718376555914
85 v6.Three.Precursor.85 -204.71836538374
91 v6.Three.Precursor.90 -204.718315869518
26 v6.Three.Precursor.31 -204.477501258088
39 v6.Three.Precursor.43 -204.477470935025
67 v6.Three.Precursor.69 -204.477460371
97 v6.Three.Precursor.96 -204.438824140714
66 v6.Three.Precursor.68 -204.434577773481
73 v6.Three.Precursor.74 -204.42845585005
4 v6.Three.Precursor.11 -204.136501867442
12 v6.Three.Precursor.19 -202.396076685716
40 v6.Three.Precursor.44 -200.503506142372
76 v6.Three.Precursor.77 -200.503486299084
11 v6.Three.Precursor.18 -200.503483445773
31 v6.Three.Precursor.36 -200.503478608665
28 v6.Three.Precursor.33 -200.503476007175
44 v6.Three.Precursor.48 -200.503475772195
53 v6.Three.Precursor.56 -200.503475695542
79 v6.Three.Precursor.8 -200.50347468085
74 v6.Three.Precursor.75 -200.503474453251
54 v6.Three.Precursor.57 -200.503474125434
33 v6.Three.Precursor.38 -200.50347391548
93 v6.Three.Precursor.92 -200.50347362141
45 v6.Three.Precursor.49 -200.50347327362
87 v6.Three.Precursor.87 -200.503473121225
78 v6.Three.Precursor.79 -200.503472830972
35 v6.Three.Precursor.4 -200.503472717572
83 v6.Three.Precursor.83 -200.503472688516
2 v6.Three.Precursor.10 -200.503472289393
13 v6.Three.Precursor.2 -200.503377116984
