Run AICc
34 v6.ThreeRates.39 425.006966783136
83 v6.ThreeRates.86 427.648407061752
57 v6.ThreeRates.61 429.433135091722
26 v6.ThreeRates.31 429.927882770705
70 v6.ThreeRates.74 429.928772292105
73 v6.ThreeRates.77 431.866438670247
13 v6.ThreeRates.2 432.704479035678
61 v6.ThreeRates.65 432.705187668661
25 v6.ThreeRates.30 432.705414475051
51 v6.ThreeRates.56 432.750766090439
94 v6.ThreeRates.97 432.778999353537
78 v6.ThreeRates.81 432.788864675988
40 v6.ThreeRates.46 432.794534626365
89 v6.ThreeRates.92 432.807428931348
49 v6.ThreeRates.54 432.923855015539
95 v6.ThreeRates.98 433.436729046696
39 v6.ThreeRates.44 433.436732131159
80 v6.ThreeRates.83 433.436734581667
10 v6.ThreeRates.17 433.56201436232
20 v6.ThreeRates.26 434.498157638088
87 v6.ThreeRates.90 434.801801997736
58 v6.ThreeRates.62 434.80187280384
16 v6.ThreeRates.22 434.801896022603
30 v6.ThreeRates.35 434.806730981888
68 v6.ThreeRates.72 436.045693630734
79 v6.ThreeRates.82 436.493812944528
88 v6.ThreeRates.91 436.493812972884
14 v6.ThreeRates.20 436.493813616111
77 v6.ThreeRates.80 436.493814583986
33 v6.ThreeRates.38 436.49381648872
6 v6.ThreeRates.13 436.493818008451
11 v6.ThreeRates.18 436.493819526197
44 v6.ThreeRates.5 436.493819612274
72 v6.ThreeRates.76 436.493920601964
56 v6.ThreeRates.60 436.581066498341
36 v6.ThreeRates.40 438.364691935017
9 v6.ThreeRates.16 438.371764764406
37 v6.ThreeRates.42 439.516766101367
69 v6.ThreeRates.73 442.60760409298
18 v6.ThreeRates.24 442.832811157325
52 v6.ThreeRates.57 442.899685087957
63 v6.ThreeRates.67 445.083243267017
71 v6.ThreeRates.75 448.819693600674
27 v6.ThreeRates.32 449.739872569617
42 v6.ThreeRates.48 452.184091390846
31 v6.ThreeRates.36 464.036607348842
43 v6.ThreeRates.49 464.037057538105
32 v6.ThreeRates.37 464.039220213604
66 v6.ThreeRates.70 464.039220318326
7 v6.ThreeRates.14 464.039220542
53 v6.ThreeRates.58 464.427347787975
67 v6.ThreeRates.71 472.353663113667
91 v6.ThreeRates.94 472.35414865021
19 v6.ThreeRates.25 472.357766304818
82 v6.ThreeRates.85 472.357925474821
8 v6.ThreeRates.15 472.357945353924
1 v6.ThreeRates.1 472.357950185094
65 v6.ThreeRates.7 472.358053335579
24 v6.ThreeRates.3 472.358074569418
64 v6.ThreeRates.68 472.358151845301
84 v6.ThreeRates.87 472.358196018543
74 v6.ThreeRates.78 472.358218353395
86 v6.ThreeRates.9 472.358229696014
35 v6.ThreeRates.4 472.358249481978
41 v6.ThreeRates.47 472.35825258484
2 v6.ThreeRates.10 472.358254141966
22 v6.ThreeRates.28 472.358254365945
3 v6.ThreeRates.100 472.358254445659
29 v6.ThreeRates.34 472.358254475053
12 v6.ThreeRates.19 472.358254580606
5 v6.ThreeRates.12 472.358254875693
59 v6.ThreeRates.63 472.358255007471
75 v6.ThreeRates.79 472.358255516727
54 v6.ThreeRates.59 472.358255591729
92 v6.ThreeRates.95 472.35825996611
76 v6.ThreeRates.8 472.358272932959
28 v6.ThreeRates.33 472.358308742918
4 v6.ThreeRates.11 472.358310132748
46 v6.ThreeRates.51 472.358316360678
47 v6.ThreeRates.52 472.358328519923
21 v6.ThreeRates.27 472.358343155436
48 v6.ThreeRates.53 472.358428144738
15 v6.ThreeRates.21 472.358672242577
62 v6.ThreeRates.66 472.358830387926
96 v6.ThreeRates.99 472.360197008043
93 v6.ThreeRates.96 472.360860913026
23 v6.ThreeRates.29 473.743827707671
81 v6.ThreeRates.84 473.743920204254
90 v6.ThreeRates.93 481.019071788189
85 v6.ThreeRates.89 481.023987134505
55 v6.ThreeRates.6 481.027010191342
38 v6.ThreeRates.43 481.027318940249
17 v6.ThreeRates.23 481.027405555269
45 v6.ThreeRates.50 497.379552771226
60 v6.ThreeRates.64 497.379806993073
50 v6.ThreeRates.55 497.387345298747
