Run likelihood
7 v6.TwoRates.14 -244.000240101877
80 v6.TwoRates.80 -243.997053135419
88 v6.TwoRates.88 -243.996923777503
91 v6.TwoRates.90 -243.996853158474
87 v6.TwoRates.87 -243.996785015909
82 v6.TwoRates.82 -243.996680492017
25 v6.TwoRates.30 -243.996617280652
13 v6.TwoRates.2 -243.99657161904
33 v6.TwoRates.38 -243.996561807939
47 v6.TwoRates.50 -243.996550477619
9 v6.TwoRates.16 -243.996540696584
11 v6.TwoRates.18 -243.996526442344
14 v6.TwoRates.20 -243.996504419022
35 v6.TwoRates.4 -243.996495573305
12 v6.TwoRates.19 -243.996495559448
60 v6.TwoRates.62 -243.996491471556
10 v6.TwoRates.17 -243.996446389191
51 v6.TwoRates.54 -243.996434259274
20 v6.TwoRates.26 -243.996423243632
44 v6.TwoRates.48 -243.996326844592
76 v6.TwoRates.77 -243.996104651158
71 v6.TwoRates.72 -243.995963331916
78 v6.TwoRates.79 -243.993746693313
46 v6.TwoRates.5 -243.733331677056
43 v6.TwoRates.47 -243.589220563773
74 v6.TwoRates.75 -243.263714886831
96 v6.TwoRates.95 -243.258139153195
36 v6.TwoRates.40 -243.254592834081
39 v6.TwoRates.43 -235.814731796425
58 v6.TwoRates.60 -235.81091004172
22 v6.TwoRates.28 -235.804841377986
65 v6.TwoRates.67 -235.804830635972
18 v6.TwoRates.24 -235.804828448946
84 v6.TwoRates.84 -235.804828340919
54 v6.TwoRates.57 -235.804827650437
50 v6.TwoRates.53 -233.895978784713
15 v6.TwoRates.21 -233.895959058081
21 v6.TwoRates.27 -233.895956661768
45 v6.TwoRates.49 -233.895956521997
2 v6.TwoRates.10 -233.895956430172
61 v6.TwoRates.63 -233.895956325428
17 v6.TwoRates.23 -233.895956314514
98 v6.TwoRates.97 -233.895955975537
66 v6.TwoRates.68 -233.895955894777
56 v6.TwoRates.59 -233.895955876205
27 v6.TwoRates.32 -233.895955847344
89 v6.TwoRates.89 -233.895955553728
1 v6.TwoRates.1 -233.895955502604
86 v6.TwoRates.86 -233.895955444623
23 v6.TwoRates.29 -233.895955428086
4 v6.TwoRates.11 -233.89595539926
69 v6.TwoRates.70 -233.895955396592
34 v6.TwoRates.39 -233.895955356388
73 v6.TwoRates.74 -233.895955330612
16 v6.TwoRates.22 -232.485451937333
83 v6.TwoRates.83 -232.485401254796
70 v6.TwoRates.71 -231.606671103564
59 v6.TwoRates.61 -231.606669395273
19 v6.TwoRates.25 -231.606669077131
63 v6.TwoRates.65 -221.885385502252
52 v6.TwoRates.55 -221.871240442229
48 v6.TwoRates.51 -221.871131848576
95 v6.TwoRates.94 -221.871129051906
64 v6.TwoRates.66 -221.871121939724
93 v6.TwoRates.92 -221.871105190743
57 v6.TwoRates.6 -221.871104920419
72 v6.TwoRates.73 -221.87110433408
8 v6.TwoRates.15 -221.862529940095
28 v6.TwoRates.33 -221.540475269612
97 v6.TwoRates.96 -221.540466919963
55 v6.TwoRates.58 -221.540464532855
3 v6.TwoRates.100 -221.540463535123
94 v6.TwoRates.93 -221.540461916715
77 v6.TwoRates.78 -221.540461897913
40 v6.TwoRates.44 -221.540461317499
38 v6.TwoRates.42 -221.540461032503
37 v6.TwoRates.41 -221.540460970125
90 v6.TwoRates.9 -221.540460963884
75 v6.TwoRates.76 -221.540460865545
92 v6.TwoRates.91 -221.540460587089
53 v6.TwoRates.56 -221.540460563815
24 v6.TwoRates.3 -221.540460563469
100 v6.TwoRates.99 -221.540460562353
5 v6.TwoRates.12 -221.540460515089
81 v6.TwoRates.81 -215.662696332165
6 v6.TwoRates.13 -215.662308053099
29 v6.TwoRates.34 -215.661568163068
30 v6.TwoRates.35 -215.661448812916
32 v6.TwoRates.37 -215.661400674972
62 v6.TwoRates.64 -215.661353300607
31 v6.TwoRates.36 -215.661351288377
67 v6.TwoRates.69 -215.661350931549
41 v6.TwoRates.45 -215.661348882129
68 v6.TwoRates.7 -215.661348787805
79 v6.TwoRates.8 -215.661341514997
85 v6.TwoRates.85 -215.661339263382
99 v6.TwoRates.98 -215.661337535645
42 v6.TwoRates.46 -215.661337071881
26 v6.TwoRates.31 -215.661333381966
49 v6.TwoRates.52 -215.661333262895
