Run AICc
28 v6.TwoRates.58 425.372743413558
30 v6.TwoRates.6 433.356003926727
25 v6.TwoRates.52 440.867989603562
10 v6.TwoRates.18 440.86798961468
58 v6.TwoRates.96 440.86798961957
54 v6.TwoRates.91 440.867989639415
42 v6.TwoRates.76 440.867989655889
39 v6.TwoRates.72 440.867989696733
59 v6.TwoRates.98 440.867989713258
36 v6.TwoRates.69 440.867990160932
47 v6.TwoRates.85 440.867990411235
19 v6.TwoRates.41 440.867990533886
15 v6.TwoRates.3 440.867990697733
60 v6.TwoRates.99 440.867991035914
5 v6.TwoRates.12 440.867991140773
3 v6.TwoRates.100 440.86799134239
21 v6.TwoRates.46 440.867991346653
45 v6.TwoRates.81 440.867991634992
52 v6.TwoRates.9 440.867992398656
43 v6.TwoRates.78 440.867993886464
18 v6.TwoRates.4 440.867994208368
16 v6.TwoRates.31 440.867995025942
20 v6.TwoRates.42 440.868001865159
14 v6.TwoRates.25 460.933444851009
56 v6.TwoRates.94 465.399236234687
24 v6.TwoRates.51 465.399237871488
48 v6.TwoRates.86 465.399238155083
27 v6.TwoRates.57 465.39924038511
13 v6.TwoRates.24 465.399242783739
40 v6.TwoRates.73 465.399259457874
41 v6.TwoRates.74 469.602306022939
51 v6.TwoRates.89 469.602306138368
57 v6.TwoRates.95 469.602306342872
37 v6.TwoRates.70 469.602306860511
2 v6.TwoRates.10 469.602307097429
34 v6.TwoRates.67 469.602307099163
31 v6.TwoRates.61 469.6023078808
29 v6.TwoRates.59 469.60230829372
33 v6.TwoRates.63 469.602311361148
35 v6.TwoRates.68 469.602311943097
4 v6.TwoRates.11 469.602315238804
55 v6.TwoRates.92 469.602315886172
1 v6.TwoRates.1 469.602324124992
23 v6.TwoRates.5 484.543059138786
50 v6.TwoRates.88 485.378068847357
11 v6.TwoRates.19 485.379332104064
38 v6.TwoRates.71 485.379359955749
46 v6.TwoRates.82 485.379414705979
7 v6.TwoRates.14 485.379755686583
32 v6.TwoRates.62 485.379807612341
9 v6.TwoRates.17 485.379811937933
44 v6.TwoRates.80 485.379824834161
22 v6.TwoRates.48 485.379834772084
8 v6.TwoRates.16 485.379862266652
6 v6.TwoRates.13 485.379869331492
53 v6.TwoRates.90 485.380077477813
49 v6.TwoRates.87 485.380097140702
26 v6.TwoRates.54 485.380111661868
17 v6.TwoRates.38 485.380232270573
12 v6.TwoRates.2 485.380867951986
