Run likelihood AICc
37 OneRates.42 -230.99835970011 465.996719400221
10 OneRates.18 -230.998356644845 465.996713289689
31 OneRates.37 -230.998353414148 465.996706828296
73 OneRates.75 -230.998353345593 465.996706691187
69 OneRates.71 -230.998353288079 465.996706576159
18 OneRates.25 -230.998353176156 465.996706352313
40 OneRates.45 -230.99835251887 465.99670503774
12 OneRates.2 -230.998352417104 465.996704834208
85 OneRates.86 -230.99835239809 465.996704796179
97 OneRates.97 -230.998352090609 465.996704181219
93 OneRates.93 -230.998352082965 465.99670416593
82 OneRates.83 -230.99835199126 465.996703982519
34 OneRates.4 -230.998351952558 465.996703905115
21 OneRates.28 -230.998351877449 465.996703754899
24 OneRates.30 -230.998351844875 465.99670368975
63 OneRates.66 -230.998351781647 465.996703563293
75 OneRates.77 -230.998351757032 465.996703514064
23 OneRates.3 -230.998351756904 465.996703513809
59 OneRates.62 -230.99835174592 465.996703491839
1 OneRates.10 -230.998351734595 465.996703469191
44 OneRates.49 -230.998351729914 465.996703459828
91 OneRates.91 -230.998351701028 465.996703402055
17 OneRates.24 -230.998351652829 465.996703305658
99 OneRates.99 -230.998351626588 465.996703253175
6 OneRates.14 -230.998351543719 465.996703087439
77 OneRates.79 -230.998351436275 465.99670287255
9 OneRates.17 -230.998351430728 465.996702861456
35 OneRates.40 -230.998351421323 465.996702842645
8 OneRates.16 -230.998351411946 465.996702823891
29 OneRates.35 -230.998351352875 465.996702705751
95 OneRates.95 -230.998351352731 465.996702705462
28 OneRates.34 -230.998351303495 465.996702606989
58 OneRates.61 -230.998351262946 465.996702525892
72 OneRates.74 -230.998351159983 465.996702319966
45 OneRates.5 -230.998351135091 465.996702270183
48 OneRates.52 -230.998351120812 465.996702241624
49 OneRates.53 -230.998351099435 465.99670219887
76 OneRates.78 -230.998351062566 465.996702125133
90 OneRates.90 -230.998351056504 465.996702113008
7 OneRates.15 -230.99835102676 465.996702053521
61 OneRates.64 -230.998351001724 465.996702003448
2 OneRates.100 -230.998350854607 465.996701709213
5 OneRates.13 -230.998350850014 465.996701700028
22 OneRates.29 -230.998350843695 465.99670168739
46 OneRates.50 -230.998350837859 465.996701675719
43 OneRates.48 -230.99835081383 465.99670162766
20 OneRates.27 -230.99835081204 465.996701624081
64 OneRates.67 -230.998350807181 465.996701614361
86 OneRates.87 -230.9983508046 465.9967016092
13 OneRates.20 -230.998350774015 465.996701548031
26 OneRates.32 -230.998350767938 465.996701535877
98 OneRates.98 -230.998350761911 465.996701523821
50 OneRates.54 -230.998350756281 465.996701512563
81 OneRates.82 -230.998350753769 465.996701507539
27 OneRates.33 -230.998350749224 465.996701498449
47 OneRates.51 -230.998350739173 465.996701478345
11 OneRates.19 -230.998350737164 465.996701474329
78 OneRates.8 -230.998350733401 465.996701466801
30 OneRates.36 -230.998350730779 465.996701461558
32 OneRates.38 -230.998350728974 465.996701457947
54 OneRates.58 -230.998350712325 465.996701424649
16 OneRates.23 -230.998350708493 465.996701416987
92 OneRates.92 -230.998350706319 465.996701412638
39 OneRates.44 -230.998350705011 465.996701410022
67 OneRates.7 -230.998350703688 465.996701407376
15 OneRates.22 -230.998350699419 465.996701398838
56 OneRates.6 -230.998350699139 465.996701398278
84 OneRates.85 -230.998350698183 465.996701396367
94 OneRates.94 -230.998350697599 465.996701395198
52 OneRates.56 -230.998350692329 465.996701384658
3 OneRates.11 -230.998350691024 465.996701382049
19 OneRates.26 -230.998350687974 465.996701375949
60 OneRates.63 -230.998350684061 465.996701368121
71 OneRates.73 -230.998350683658 465.996701367316
79 OneRates.80 -230.998350681882 465.996701363763
83 OneRates.84 -230.998350679583 465.996701359166
51 OneRates.55 -230.998350678373 465.996701356745
66 OneRates.69 -230.998350677985 465.996701355969
53 OneRates.57 -230.998350676438 465.996701352876
57 OneRates.60 -230.998350676084 465.996701352167
33 OneRates.39 -230.998350673958 465.996701347916
96 OneRates.96 -230.998350671591 465.996701343182
70 OneRates.72 -230.998350664322 465.996701328645
87 OneRates.88 -230.998350660463 465.996701320927
25 OneRates.31 -230.998350657764 465.996701315529
14 OneRates.21 -230.998350656739 465.996701313478
41 OneRates.46 -230.998350656304 465.996701312607
38 OneRates.43 -230.998350654181 465.996701308363
62 OneRates.65 -230.998350653691 465.996701307383
89 OneRates.9 -230.998350652636 465.996701305273
4 OneRates.12 -230.99835065178 465.996701303561
55 OneRates.59 -230.99835065177 465.99670130354
74 OneRates.76 -230.998350649994 465.996701299988
36 OneRates.41 -230.998350649948 465.996701299897
65 OneRates.68 -230.998350643742 465.996701287484
68 OneRates.70 -230.9983506358 465.9967012716
88 OneRates.89 -230.998350627074 465.996701254148
42 OneRates.47 -230.998350621381 465.996701242762
80 OneRates.81 -230.998350619983 465.996701239965
