tip,states
KIB_P026_WE10,Absent
FMN_P115_WE01,Absent
FMN_P064_WC03,?
FMN_P113_WC05,Present
FMN_P001_WA01,Absent
FMN_P001_WA02,Absent
FMN_P001_WA05,Absent
FMN_P001_WA08,Absent
FMN_P001_WA09,Absent
FMN_P001_WA11,Absent
FMN_P001_WA12,Absent
FMN_P001_WB01,Absent
FMN_P001_WB02,Absent
FMN_P001_WB03,Absent
FMN_P001_WB05,Absent
FMN_P001_WB06,Absent
FMN_P001_WB09,Absent
FMN_P001_WB11,Absent
FMN_P001_WB12,Absent
FMN_P001_WC02,Present
FMN_P001_WC03,Absent
FMN_P001_WC04,Absent
FMN_P001_WC05,Absent
FMN_P001_WC06,Absent
FMN_P001_WC07,Absent
FMN_P001_WC08,Absent
FMN_P001_WC09,Absent
FMN_P001_WC10,Absent
FMN_P001_WC11,Absent
FMN_P001_WC12,Absent
FMN_P001_WD01,Absent
FMN_P001_WD02,Absent
FMN_P001_WD04,Absent
FMN_P001_WD05,Absent
FMN_P001_WD07,Present
FMN_P001_WD08,Absent
FMN_P001_WD11,Absent
FMN_P001_WD12,Absent
FMN_P001_WE01,Present
FMN_P001_WE03,Present
FMN_P001_WE04,Present
FMN_P001_WE05,Absent
FMN_P001_WE06,Absent
FMN_P001_WE07,Absent
FMN_P001_WE08,Absent
FMN_P001_WE10,Absent
FMN_P001_WE11,Present
FMN_P001_WF02,Absent
FMN_P001_WF04,Absent
FMN_P001_WF05,Present
FMN_P001_WF06,Present
FMN_P001_WF07,Present
FMN_P001_WF09,Absent
FMN_P001_WF10,Absent
FMN_P001_WF11,Absent
FMN_P001_WF12,Absent
FMN_P001_WG02,Absent
FMN_P001_WG03,Absent
FMN_P001_WG05,Absent
FMN_P001_WG06,Absent
FMN_P001_WG07,Absent
FMN_P001_WG08,Absent
FMN_P001_WG09,Absent
FMN_P001_WG10,Absent
FMN_P001_WG12,Absent
FMN_P001_WH03,Absent
FMN_P001_WH04,Absent
FMN_P002_WA01,Present
FMN_P002_WA02,Present
FMN_P002_WA03,Present
FMN_P002_WA04,Present
FMN_P002_WA05,Present
FMN_P002_WA06,Present
FMN_P002_WA07,Present
FMN_P002_WA08,Present
FMN_P002_WA09,Present
FMN_P002_WA10,Present
FMN_P002_WA11,Present
FMN_P002_WA12,Present
FMN_P002_WB01,Present
FMN_P002_WB02,Present
FMN_P002_WB03,Present
FMN_P002_WB04,Present
FMN_P002_WB05,Present
FMN_P002_WB06,Present
FMN_P002_WB07,Present
FMN_P002_WB08,Present
FMN_P002_WB09,Present
FMN_P002_WB10,Present
FMN_P002_WB11,Present
FMN_P002_WB12,Present
FMN_P002_WC01,Present
FMN_P002_WC02,Present
FMN_P002_WC03,Present
FMN_P002_WC04,Present
FMN_P002_WC05,Present
FMN_P002_WC06,Present
FMN_P002_WC07,Present
FMN_P002_WC08,Present
FMN_P002_WC09,Present
FMN_P002_WC10,Present
FMN_P002_WC11,Present
FMN_P002_WC12,Present
FMN_P002_WD01,Present
FMN_P002_WD03,Present
FMN_P002_WD04,Present
FMN_P002_WD05,Present
FMN_P002_WD06,Present
FMN_P002_WD07,Present
FMN_P002_WD08,Present
FMN_P002_WD09,Present
FMN_P002_WD10,Present
FMN_P002_WD11,Present
FMN_P002_WD12,Present
FMN_P002_WE01,Present
FMN_P002_WE03,Present
FMN_P002_WE04,Present
FMN_P002_WE05,Present
FMN_P002_WE06,Present
FMN_P002_WE07,Present
FMN_P002_WE09,Present
FMN_P002_WE10,Present
FMN_P002_WE11,Present
FMN_P002_WE12,Present
FMN_P002_WF02,Present
FMN_P002_WF03,Present
FMN_P002_WF04,Present
FMN_P002_WF05,Present
FMN_P002_WF06,Present
FMN_P002_WF07,Absent
FMN_P002_WF08,Present
FMN_P002_WF09,Present
FMN_P002_WF10,Present
FMN_P002_WF11,Present
FMN_P002_WF12,Present
FMN_P002_WG01,Present
FMN_P002_WG02,Present
FMN_P002_WG03,Present
FMN_P002_WG04,Present
FMN_P002_WG05,Present
FMN_P002_WG06,Present
FMN_P002_WG07,Present
FMN_P002_WG08,Present
FMN_P002_WG09,Present
FMN_P002_WG10,Present
FMN_P002_WG11,Present
FMN_P002_WG12,Present
FMN_P002_WH01,Present
FMN_P002_WH02,Present
FMN_P002_WH03,Present
FMN_P002_WH04,Present
FMN_P002_WH05,Present
FMN_P002_WH06,Present
FMN_P002_WH07,Present
FMN_P002_WH08,Present
FMN_P002_WH09,Present
FMN_P002_WH10,Present
FMN_P002_WH11,Present
FMN_P002_WH12,Present
FMN_P003_WA01,Present
FMN_P003_WA02,Present
FMN_P003_WA03,Present
FMN_P003_WA04,Absent
FMN_P003_WA05,Present
FMN_P003_WA06,Present
FMN_P003_WA07,Present
FMN_P003_WA08,Present
FMN_P003_WA09,Present
FMN_P003_WA10,Present
FMN_P003_WA11,Present
FMN_P003_WA12,Present
FMN_P003_WB01,Present
FMN_P003_WB03,Present
FMN_P003_WB04,Present
FMN_P003_WB05,Absent
FMN_P003_WB06,Present
FMN_P003_WB07,Present
FMN_P003_WB08,Present
FMN_P003_WB09,Present
FMN_P003_WB10,Present
FMN_P003_WB11,Present
FMN_P003_WC01,Present
FMN_P003_WC02,Present
FMN_P003_WC03,Present
FMN_P003_WC04,Present
FMN_P003_WC05,Present
FMN_P003_WC06,Present
FMN_P003_WC07,Present
FMN_P003_WC08,Present
FMN_P003_WC10,Present
FMN_P003_WC11,Present
FMN_P003_WC12,Present
FMN_P003_WD01,Present
FMN_P003_WD02,Present
FMN_P003_WD03,Present
FMN_P003_WD04,Present
FMN_P003_WD05,Present
FMN_P003_WD06,Present
FMN_P003_WD07,Present
FMN_P003_WD08,Present
FMN_P003_WD09,Present
FMN_P003_WD10,Present
FMN_P003_WD11,Present
FMN_P003_WD12,Present
FMN_P003_WE01,Present
FMN_P003_WE02,Present
FMN_P003_WE03,Present
FMN_P003_WE04,Present
FMN_P003_WE05,Present
FMN_P003_WE06,Present
FMN_P003_WE07,Present
FMN_P003_WE08,Present
FMN_P003_WE09,Present
FMN_P003_WE10,Present
FMN_P003_WE11,Present
FMN_P003_WE12,Present
FMN_P003_WF01,Present
FMN_P003_WF02,Present
FMN_P003_WF03,Present
FMN_P003_WF04,Present
FMN_P003_WF05,Present
FMN_P003_WF06,Present
FMN_P003_WF07,Present
FMN_P003_WF08,Present
FMN_P003_WF11,Present
FMN_P003_WF12,Present
FMN_P003_WG01,Present
FMN_P003_WG02,Present
FMN_P003_WG03,Present
FMN_P003_WG07,Present
FMN_P003_WG08,Present
FMN_P003_WG09,Present
FMN_P003_WG10,Present
FMN_P003_WG11,Present
FMN_P003_WG12,Present
FMN_P003_WH01,Present
FMN_P003_WH02,Present
FMN_P003_WH03,Present
FMN_P003_WH04,Present
FMN_P003_WH05,Present
FMN_P003_WH07,Present
FMN_P003_WH08,Present
FMN_P003_WH09,Present
FMN_P003_WH10,Present
FMN_P003_WH11,Present
FMN_P003_WH12,Present
FMN_P004_WA02,Present
FMN_P004_WA03,Present
FMN_P004_WA05,Present
FMN_P004_WA06,Present
FMN_P004_WA07,Present
FMN_P004_WA08,Present
FMN_P004_WA09,Present
FMN_P004_WA10,Present
FMN_P004_WA11,Present
FMN_P004_WA12,Present
FMN_P004_WB01,Present
FMN_P004_WB02,Present
FMN_P004_WB03,Present
FMN_P004_WB04,Present
FMN_P004_WB05,Absent
FMN_P004_WB06,Absent
FMN_P004_WB07,Absent
FMN_P004_WB08,Absent
FMN_P004_WB09,Absent
FMN_P004_WB10,Absent
FMN_P004_WB11,Absent
FMN_P004_WB12,Absent
FMN_P004_WC01,Absent
FMN_P004_WC02,Absent
FMN_P004_WC04,Absent
FMN_P004_WC06,Absent
FMN_P004_WC07,Absent
FMN_P004_WC08,Absent
FMN_P004_WC09,Absent
FMN_P004_WC11,Absent
FMN_P004_WC12,Absent
FMN_P004_WD02,Absent
FMN_P004_WD03,Absent
FMN_P004_WD05,Absent
FMN_P004_WD06,Absent
FMN_P004_WD07,Absent
FMN_P004_WD08,Absent
FMN_P004_WD09,Absent
FMN_P004_WD10,Absent
FMN_P004_WD12,Absent
FMN_P004_WE01,Absent
FMN_P004_WE02,Absent
FMN_P004_WE05,Absent
FMN_P004_WE07,Absent
FMN_P004_WE08,Absent
FMN_P004_WE09,Absent
FMN_P004_WE12,Absent
FMN_P004_WF01,Absent
FMN_P004_WF02,Absent
FMN_P004_WF03,Absent
FMN_P004_WF04,Absent
FMN_P004_WF05,Absent
FMN_P004_WF07,Absent
FMN_P004_WF08,Absent
FMN_P004_WF09,Absent
FMN_P004_WF10,Absent
FMN_P004_WG02,Absent
FMN_P004_WG04,Absent
FMN_P004_WG05,Absent
FMN_P004_WG06,Absent
FMN_P004_WG10,Absent
FMN_P004_WH03,Absent
FMN_P004_WH05,Absent
FMN_P004_WH06,Absent
FMN_P004_WH08,Absent
FMN_P004_WH09,Absent
FMN_P004_WH11,Absent
FMN_P004_WH12,Absent
FMN_P005_WA02,Absent
FMN_P005_WA04,Absent
FMN_P005_WA05,Absent
FMN_P005_WA06,Absent
FMN_P005_WA07,Absent
FMN_P005_WA09,Absent
FMN_P005_WA10,Absent
FMN_P005_WA11,Absent
FMN_P005_WB04,Absent
FMN_P005_WB05,Absent
FMN_P005_WB07,Present
FMN_P005_WB08,Present
FMN_P005_WB09,Present
FMN_P005_WB10,Present
FMN_P005_WB11,Present
FMN_P005_WB12,Present
FMN_P005_WC01,Present
FMN_P005_WC02,Present
FMN_P005_WC03,Present
FMN_P005_WC04,Present
FMN_P005_WC05,Present
FMN_P005_WC06,Present
FMN_P005_WC07,Present
FMN_P005_WC08,Present
FMN_P005_WC09,Present
FMN_P005_WC10,Present
FMN_P005_WC11,Present
FMN_P005_WC12,Present
FMN_P005_WD01,Present
FMN_P005_WD02,Present
FMN_P005_WD03,Present
FMN_P005_WD04,Present
FMN_P005_WD05,Present
FMN_P005_WD06,Present
FMN_P005_WD07,Present
FMN_P005_WD08,Present
FMN_P005_WD09,Present
FMN_P005_WD10,Present
FMN_P005_WD11,Present
FMN_P005_WD12,Present
FMN_P005_WE01,Present
FMN_P005_WE02,Present
FMN_P005_WE03,Present
FMN_P005_WE04,Present
FMN_P005_WE05,Present
FMN_P005_WE06,Present
FMN_P005_WE07,Present
FMN_P005_WE08,Present
FMN_P005_WE09,Present
FMN_P005_WE10,Present
FMN_P005_WE11,Present
FMN_P005_WE12,Present
FMN_P005_WF02,Present
FMN_P005_WF03,Present
FMN_P005_WF04,Present
FMN_P005_WF05,Present
FMN_P005_WF06,Present
FMN_P005_WF07,Present
FMN_P005_WF08,Present
FMN_P005_WF09,Present
FMN_P005_WF10,Present
FMN_P005_WF11,Present
FMN_P005_WF12,Present
FMN_P005_WG01,Present
FMN_P005_WG02,Present
FMN_P005_WG04,Present
FMN_P005_WG05,Present
FMN_P005_WG06,Present
FMN_P005_WG07,Present
FMN_P005_WG08,Present
FMN_P005_WG09,Present
FMN_P005_WG10,Present
FMN_P005_WG11,Present
FMN_P005_WG12,Absent
FMN_P005_WH01,Absent
FMN_P005_WH02,Absent
FMN_P005_WH03,Absent
FMN_P005_WH04,Present
FMN_P005_WH06,Absent
FMN_P005_WH07,Absent
FMN_P005_WH08,Present
FMN_P005_WH09,Absent
FMN_P005_WH10,Present
FMN_P005_WH11,Absent
FMN_P005_WH12,Absent
FMN_P006_WA01,Absent
FMN_P006_WA02,Absent
FMN_P006_WA03,Absent
FMN_P006_WA04,Absent
FMN_P006_WA05,Absent
FMN_P006_WA06,Absent
FMN_P006_WA07,Absent
FMN_P006_WA08,Absent
FMN_P006_WA09,Absent
FMN_P006_WA10,Absent
FMN_P006_WA11,Absent
FMN_P006_WA12,Absent
FMN_P006_WB01,Absent
