Run likelihood AICc
9 DiffBB.FourPrecursor.59 -210.192100466928 458.384200933856
16 DiffBB.FourPrecursor.77 -209.183248950733 456.366497901467
2 DiffBB.FourPrecursor.13 -209.015951358937 456.031902717873
8 DiffBB.FourPrecursor.58 -208.884889925889 455.769779851779
3 DiffBB.FourPrecursor.15 -208.819196919507 455.638393839014
19 DiffBB.FourPrecursor.91 -208.109406633453 454.218813266906
7 DiffBB.FourPrecursor.57 -207.248667885933 452.497335771866
11 DiffBB.FourPrecursor.62 -207.057842062798 452.115684125596
6 DiffBB.FourPrecursor.50 -207.044925818157 452.089851636313
1 DiffBB.FourPrecursor.11 -207.044922908878 452.089845817755
14 DiffBB.FourPrecursor.74 -207.044904463962 452.089808927925
4 DiffBB.FourPrecursor.16 -206.881746376031 451.763492752062
10 DiffBB.FourPrecursor.6 -205.890917051244 449.781834102489
12 DiffBB.FourPrecursor.68 -205.881855446285 449.763710892571
5 DiffBB.FourPrecursor.40 -205.644306316327 449.288612632654
17 DiffBB.FourPrecursor.81 -205.644291965948 449.288583931896
18 DiffBB.FourPrecursor.90 -204.996542271038 447.993084542075
13 DiffBB.FourPrecursor.72 -204.133159097919 446.266318195838
15 DiffBB.FourPrecursor.75 -204.131772684719 446.263545369438
