Run likelihood AICc
51 DiffBB.FourRates.96 -243.882742622113 527.765485244226
52 DiffBB.FourRates.97 -243.244061426888 526.488122853775
25 DiffBB.FourRates.51 -242.442340347311 524.884680694622
8 DiffBB.FourRates.2 -242.41816744423 524.836334888461
53 DiffBB.FourRates.99 -242.416439912097 524.832879824194
28 DiffBB.FourRates.54 -242.409265899092 524.818531798183
49 DiffBB.FourRates.92 -242.405133113081 524.810266226162
11 DiffBB.FourRates.22 -242.397919644824 524.795839289647
47 DiffBB.FourRates.9 -242.396846042392 524.793692084784
38 DiffBB.FourRates.74 -242.388101986072 524.776203972145
33 DiffBB.FourRates.63 -242.386340808586 524.772681617173
19 DiffBB.FourRates.43 -242.380620491716 524.761240983432
43 DiffBB.FourRates.81 -242.378042094814 524.756084189628
39 DiffBB.FourRates.75 -233.59563663447 507.191273268939
22 DiffBB.FourRates.48 -230.678516666386 501.357033332773
2 DiffBB.FourRates.10 -229.581424113107 499.162848226214
15 DiffBB.FourRates.32 -229.529160758613 499.058321517226
1 DiffBB.FourRates.1 -229.529132750399 499.058265500798
17 DiffBB.FourRates.37 -229.520959641489 499.041919282978
7 DiffBB.FourRates.19 -226.188803408025 492.37760681605
5 DiffBB.FourRates.14 -224.994772918476 489.989545836952
20 DiffBB.FourRates.44 -224.994522075209 489.989044150419
31 DiffBB.FourRates.57 -217.555133610933 475.110267221867
12 DiffBB.FourRates.24 -217.549014311951 475.098028623902
45 DiffBB.FourRates.86 -215.378495098288 470.756990196576
37 DiffBB.FourRates.73 -215.368257737833 470.736515475666
26 DiffBB.FourRates.52 -214.952295660686 469.904591321372
46 DiffBB.FourRates.89 -214.164626905775 468.329253811549
44 DiffBB.FourRates.84 -213.322552473578 466.645104947157
6 DiffBB.FourRates.15 -213.27071306134 466.54142612268
27 DiffBB.FourRates.53 -213.143372334607 466.286744669214
13 DiffBB.FourRates.25 -213.138701795701 466.277403591403
21 DiffBB.FourRates.47 -213.13809680105 466.276193602101
4 DiffBB.FourRates.13 -212.487575467989 464.975150935979
9 DiffBB.FourRates.20 -210.668051414732 461.336102829464
42 DiffBB.FourRates.79 -210.568112093701 461.136224187401
40 DiffBB.FourRates.76 -208.718699573393 457.437399146786
48 DiffBB.FourRates.91 -208.420300956121 456.840601912242
24 DiffBB.FourRates.5 -208.406253187888 456.812506375775
34 DiffBB.FourRates.65 -208.396938590077 456.793877180154
32 DiffBB.FourRates.61 -207.650594239745 455.301188479491
36 DiffBB.FourRates.72 -207.633091367941 455.266182735882
10 DiffBB.FourRates.21 -207.622786346288 455.245572692576
3 DiffBB.FourRates.12 -207.61579602111 455.23159204222
14 DiffBB.FourRates.3 -207.395430922559 454.790861845118
18 DiffBB.FourRates.38 -207.241784919481 454.483569838962
41 DiffBB.FourRates.77 -207.24110261645 454.4822052329
35 DiffBB.FourRates.67 -207.241089638702 454.482179277405
30 DiffBB.FourRates.56 -205.919584248472 451.839168496944
50 DiffBB.FourRates.93 -204.992115185058 449.984230370116
16 DiffBB.FourRates.33 -204.97013511975 449.9402702395
23 DiffBB.FourRates.49 -204.96359676917 449.927193538339
29 DiffBB.FourRates.55 -204.963419464507 449.926838929014
