Run likelihood AICc
40 DiffBB.Three.Precursor.72 -218.942542217036 459.885084434073
39 DiffBB.Three.Precursor.69 -210.355918174415 442.711836348829
38 DiffBB.Three.Precursor.66 -210.355879556683 442.711759113365
43 DiffBB.Three.Precursor.78 -210.35586543513 442.711730870261
33 DiffBB.Three.Precursor.55 -210.355864916858 442.711729833717
30 DiffBB.Three.Precursor.48 -207.898496791875 437.796993583751
59 DiffBB.Three.Precursor.98 -207.237704490651 436.475408981303
26 DiffBB.Three.Precursor.43 -207.2375363063 436.475072612601
34 DiffBB.Three.Precursor.57 -207.237476500636 436.474953001273
21 DiffBB.Three.Precursor.39 -207.237419543833 436.474839087666
32 DiffBB.Three.Precursor.5 -207.237383134084 436.474766268167
10 DiffBB.Three.Precursor.23 -207.237299524524 436.474599049047
44 DiffBB.Three.Precursor.79 -207.237266291221 436.474532582443
50 DiffBB.Three.Precursor.89 -207.237262900713 436.474525801426
35 DiffBB.Three.Precursor.62 -207.237200864876 436.474401729752
23 DiffBB.Three.Precursor.40 -207.237197620274 436.474395240549
22 DiffBB.Three.Precursor.4 -207.237183709117 436.474367418234
6 DiffBB.Three.Precursor.15 -207.237167406682 436.474334813364
8 DiffBB.Three.Precursor.21 -207.237140023787 436.474280047574
42 DiffBB.Three.Precursor.77 -207.237131787037 436.474263574073
24 DiffBB.Three.Precursor.41 -207.237129002171 436.474258004343
12 DiffBB.Three.Precursor.26 -207.23712850232 436.47425700464
37 DiffBB.Three.Precursor.64 -207.237127586184 436.474255172367
1 DiffBB.Three.Precursor.10 -207.237127389578 436.474254779157
54 DiffBB.Three.Precursor.92 -207.237127222492 436.474254444983
19 DiffBB.Three.Precursor.36 -207.237126645226 436.474253290452
28 DiffBB.Three.Precursor.46 -207.237125951448 436.474251902896
58 DiffBB.Three.Precursor.97 -207.237125736468 436.474251472935
46 DiffBB.Three.Precursor.83 -207.237125654014 436.474251308029
18 DiffBB.Three.Precursor.34 -206.884909966986 435.769819933972
47 DiffBB.Three.Precursor.84 -206.708339893233 435.416679786466
57 DiffBB.Three.Precursor.96 -206.539794760213 435.079589520426
9 DiffBB.Three.Precursor.22 -206.539411393563 435.078822787126
27 DiffBB.Three.Precursor.45 -204.148594305104 430.297188610208
17 DiffBB.Three.Precursor.31 -201.841399394832 425.682798789664
11 DiffBB.Three.Precursor.25 -201.841396289748 425.682792579496
36 DiffBB.Three.Precursor.63 -200.528661598157 423.057323196313
4 DiffBB.Three.Precursor.13 -200.516526566373 423.033053132745
14 DiffBB.Three.Precursor.28 -200.515375866637 423.030751733274
56 DiffBB.Three.Precursor.95 -200.515095310265 423.03019062053
51 DiffBB.Three.Precursor.9 -200.514894593189 423.029789186379
2 DiffBB.Three.Precursor.100 -200.514810313103 423.029620626205
60 DiffBB.Three.Precursor.99 -200.514762636905 423.029525273809
5 DiffBB.Three.Precursor.14 -200.514743269707 423.029486539415
48 DiffBB.Three.Precursor.87 -200.514740882128 423.029481764256
31 DiffBB.Three.Precursor.49 -200.514679859255 423.029359718509
53 DiffBB.Three.Precursor.91 -200.514666196862 423.029332393724
16 DiffBB.Three.Precursor.3 -200.514663595344 423.029327190689
7 DiffBB.Three.Precursor.19 -200.514661814995 423.02932362999
41 DiffBB.Three.Precursor.76 -200.514652041127 423.029304082254
29 DiffBB.Three.Precursor.47 -200.514651076674 423.029302153348
13 DiffBB.Three.Precursor.27 -200.514648162879 423.029296325758
52 DiffBB.Three.Precursor.90 -200.514643097244 423.029286194488
15 DiffBB.Three.Precursor.29 -200.51464114762 423.02928229524
3 DiffBB.Three.Precursor.12 -200.514634246953 423.029268493906
55 DiffBB.Three.Precursor.93 -199.896026849298 421.792053698597
45 DiffBB.Three.Precursor.82 -199.895865253874 421.791730507748
49 DiffBB.Three.Precursor.88 -199.096079038142 420.192158076285
20 DiffBB.Three.Precursor.38 -199.095102336765 420.190204673529
25 DiffBB.Three.Precursor.42 -199.094638458528 420.189276917056
