Run likelihood AICc
72 DiffBB.Three.Precursor.73 -243.88338039072 509.76676078144
86 DiffBB.Three.Precursor.86 -243.882783459349 509.765566918698
9 DiffBB.Three.Precursor.16 -243.592685688469 509.185371376937
71 DiffBB.Three.Precursor.72 -230.391794212053 482.783588424106
67 DiffBB.Three.Precursor.69 -230.391722056166 482.783444112332
1 DiffBB.Three.Precursor.1 -225.400742266782 472.801484533564
85 DiffBB.Three.Precursor.85 -225.400363947067 472.800727894134
18 DiffBB.Three.Precursor.24 -225.400361704665 472.80072340933
45 DiffBB.Three.Precursor.49 -225.400360857489 472.800721714978
89 DiffBB.Three.Precursor.89 -225.400358140048 472.800716280095
19 DiffBB.Three.Precursor.25 -220.975999348592 463.951998697185
27 DiffBB.Three.Precursor.32 -220.975921244413 463.951842488825
80 DiffBB.Three.Precursor.80 -220.857109999147 463.714219998294
99 DiffBB.Three.Precursor.98 -219.092443027712 460.184886055423
11 DiffBB.Three.Precursor.18 -217.681751010286 457.363502020572
56 DiffBB.Three.Precursor.59 -217.011635381178 456.023270762355
3 DiffBB.Three.Precursor.100 -216.847369033598 455.694738067196
44 DiffBB.Three.Precursor.48 -216.548803151507 455.097606303014
83 DiffBB.Three.Precursor.83 -216.54186323886 455.08372647772
60 DiffBB.Three.Precursor.62 -216.541863176436 455.083726352872
65 DiffBB.Three.Precursor.67 -215.783380283276 453.566760566551
50 DiffBB.Three.Precursor.53 -215.407408833306 452.814817666612
36 DiffBB.Three.Precursor.40 -215.400106336451 452.800212672903
14 DiffBB.Three.Precursor.20 -214.734752058879 451.469504117758
38 DiffBB.Three.Precursor.42 -214.734710286362 451.469420572725
98 DiffBB.Three.Precursor.97 -213.030391103815 448.06078220763
4 DiffBB.Three.Precursor.11 -213.029067740609 448.058135481218
84 DiffBB.Three.Precursor.84 -212.681718386992 447.363436773984
49 DiffBB.Three.Precursor.52 -212.679973717064 447.359947434129
13 DiffBB.Three.Precursor.2 -212.677532867159 447.355065734318
88 DiffBB.Three.Precursor.88 -212.677308052458 447.354616104915
58 DiffBB.Three.Precursor.60 -212.677296223905 447.35459244781
51 DiffBB.Three.Precursor.54 -212.677288013807 447.354576027614
66 DiffBB.Three.Precursor.68 -212.677246965033 447.354493930067
26 DiffBB.Three.Precursor.31 -212.012296995315 446.024593990629
69 DiffBB.Three.Precursor.70 -211.532856700853 445.065713401707
41 DiffBB.Three.Precursor.45 -211.5300881163 445.0601762326
73 DiffBB.Three.Precursor.74 -211.529255879179 445.058511758358
33 DiffBB.Three.Precursor.38 -211.529015204936 445.058030409872
97 DiffBB.Three.Precursor.96 -211.528493144171 445.056986288343
53 DiffBB.Three.Precursor.56 -211.528224355847 445.056448711693
61 DiffBB.Three.Precursor.63 -211.527971545442 445.055943090884
5 DiffBB.Three.Precursor.12 -211.527966720217 445.055933440435
32 DiffBB.Three.Precursor.37 -211.527962265156 445.055924530312
81 DiffBB.Three.Precursor.81 -211.527947729758 445.055895459515
43 DiffBB.Three.Precursor.47 -211.52790012177 445.05580024354
91 DiffBB.Three.Precursor.90 -211.527897297633 445.055794595267
34 DiffBB.Three.Precursor.39 -211.527710542684 445.055421085368
23 DiffBB.Three.Precursor.29 -211.527629891861 445.055259783722
7 DiffBB.Three.Precursor.14 -211.52761503154 445.05523006308
76 DiffBB.Three.Precursor.77 -211.527579390316 445.055158780632
39 DiffBB.Three.Precursor.43 -211.527574789807 445.055149579614
95 DiffBB.Three.Precursor.94 -211.527571925685 445.055143851369
96 DiffBB.Three.Precursor.95 -211.527566279507 445.055132559015
94 DiffBB.Three.Precursor.93 -211.527549456077 445.055098912154
