Run AICc
13 v6.Three.Precursor.2 423.006754233968
2 v6.Three.Precursor.10 423.006944578786
83 v6.Three.Precursor.83 423.006945377031
35 v6.Three.Precursor.4 423.006945435145
78 v6.Three.Precursor.79 423.006945661943
87 v6.Three.Precursor.87 423.006946242449
45 v6.Three.Precursor.49 423.006946547241
93 v6.Three.Precursor.92 423.00694724282
33 v6.Three.Precursor.38 423.00694783096
54 v6.Three.Precursor.57 423.006948250869
74 v6.Three.Precursor.75 423.006948906502
79 v6.Three.Precursor.8 423.0069493617
53 v6.Three.Precursor.56 423.006951391085
44 v6.Three.Precursor.48 423.006951544389
28 v6.Three.Precursor.33 423.006952014349
31 v6.Three.Precursor.36 423.00695721733
11 v6.Three.Precursor.18 423.006966891546
76 v6.Three.Precursor.77 423.006972598168
40 v6.Three.Precursor.44 423.007012284744
12 v6.Three.Precursor.19 426.792153371432
4 v6.Three.Precursor.11 430.273003734885
73 v6.Three.Precursor.74 430.8569117001
66 v6.Three.Precursor.68 430.869155546962
97 v6.Three.Precursor.96 430.877648281428
67 v6.Three.Precursor.69 430.954920742
39 v6.Three.Precursor.43 430.954941870049
26 v6.Three.Precursor.31 430.955002516175
91 v6.Three.Precursor.90 431.436631739035
85 v6.Three.Precursor.85 431.436730767481
77 v6.Three.Precursor.78 431.436753111828
68 v6.Three.Precursor.7 431.436754856888
60 v6.Three.Precursor.62 431.436790628721
46 v6.Three.Precursor.5 431.436813850684
38 v6.Three.Precursor.42 431.436820671896
41 v6.Three.Precursor.45 432.801777017344
62 v6.Three.Precursor.64 432.80177706257
47 v6.Three.Precursor.50 432.801796415472
19 v6.Three.Precursor.25 432.801820374802
34 v6.Three.Precursor.39 432.801837189815
71 v6.Three.Precursor.72 432.801844801865
42 v6.Three.Precursor.46 432.802026021021
84 v6.Three.Precursor.84 432.802252099749
49 v6.Three.Precursor.52 432.802645706911
25 v6.Three.Precursor.30 432.825621476116
17 v6.Three.Precursor.23 432.826482061494
99 v6.Three.Precursor.98 433.290872902666
57 v6.Three.Precursor.6 433.3272579037
24 v6.Three.Precursor.3 433.619636495993
18 v6.Three.Precursor.24 433.925334534489
16 v6.Three.Precursor.22 435.991952062111
88 v6.Three.Precursor.88 435.991996889616
23 v6.Three.Precursor.29 435.992070588503
61 v6.Three.Precursor.63 435.992307438316
98 v6.Three.Precursor.97 435.992615165695
48 v6.Three.Precursor.51 435.994194937929
1 v6.Three.Precursor.1 436.34816723912
82 v6.Three.Precursor.82 439.854287662132
95 v6.Three.Precursor.94 439.872121464899
52 v6.Three.Precursor.55 439.872418564181
51 v6.Three.Precursor.54 439.880356870092
14 v6.Three.Precursor.20 439.890739204099
86 v6.Three.Precursor.86 439.895651284497
63 v6.Three.Precursor.65 440.653445430953
8 v6.Three.Precursor.15 440.693321224644
21 v6.Three.Precursor.27 440.694549875455
81 v6.Three.Precursor.81 441.161575806817
90 v6.Three.Precursor.9 441.16157807989
43 v6.Three.Precursor.47 441.161592859106
7 v6.Three.Precursor.14 441.161628567689
5 v6.Three.Precursor.12 441.161654584523
55 v6.Three.Precursor.58 441.161662589604
96 v6.Three.Precursor.95 441.161675436447
3 v6.Three.Precursor.100 441.161676620478
69 v6.Three.Precursor.70 441.161683072663
58 v6.Three.Precursor.60 441.161724756155
100 v6.Three.Precursor.99 441.161745461464
70 v6.Three.Precursor.71 441.161767700208
29 v6.Three.Precursor.34 441.161772788533
32 v6.Three.Precursor.37 441.161835929709
10 v6.Three.Precursor.17 441.161897396365
59 v6.Three.Precursor.61 441.161918971865
20 v6.Three.Precursor.26 441.161931746892
27 v6.Three.Precursor.32 441.16211133449
37 v6.Three.Precursor.41 441.162328234393
75 v6.Three.Precursor.76 441.162851552313
30 v6.Three.Precursor.35 441.19427984958
15 v6.Three.Precursor.21 443.943043944777
94 v6.Three.Precursor.93 449.501827558733
65 v6.Three.Precursor.67 449.501829057607
92 v6.Three.Precursor.91 450.297234155952
6 v6.Three.Precursor.13 459.18012258421
56 v6.Three.Precursor.59 459.180934011352
64 v6.Three.Precursor.66 459.181003884239
80 v6.Three.Precursor.80 459.181004429738
89 v6.Three.Precursor.89 459.181048168089
22 v6.Three.Precursor.28 459.181049430687
72 v6.Three.Precursor.73 462.036606872697
36 v6.Three.Precursor.40 471.74384081854
50 v6.Three.Precursor.53 471.748279683126
9 v6.Three.Precursor.16 494.581032471982
