Run likelihood AICc
68 DiffBB.TwoPrecursor.7 -243.888735153773 497.777470307545
46 DiffBB.TwoPrecursor.5 -229.986791857025 469.97358371405
78 DiffBB.TwoPrecursor.79 -224.994918284489 459.989836568979
63 DiffBB.TwoPrecursor.65 -224.994911613456 459.989823226911
52 DiffBB.TwoPrecursor.55 -224.994908138448 459.989816276897
82 DiffBB.TwoPrecursor.82 -224.994907124819 459.989814249638
10 DiffBB.TwoPrecursor.17 -224.994899643672 459.989799287345
57 DiffBB.TwoPrecursor.6 -224.994898503006 459.989797006013
64 DiffBB.TwoPrecursor.66 -224.994897613754 459.989795227507
35 DiffBB.TwoPrecursor.4 -224.99489678282 459.98979356564
6 DiffBB.TwoPrecursor.13 -224.994896494877 459.989792989753
98 DiffBB.TwoPrecursor.97 -224.994895898859 459.989791797718
71 DiffBB.TwoPrecursor.72 -224.994895446657 459.989790893313
45 DiffBB.TwoPrecursor.49 -224.994895335099 459.989790670199
38 DiffBB.TwoPrecursor.42 -224.994894788926 459.989789577851
26 DiffBB.TwoPrecursor.31 -224.994893990657 459.989787981314
30 DiffBB.TwoPrecursor.35 -224.994893663107 459.989787326215
85 DiffBB.TwoPrecursor.85 -224.994893615105 459.98978723021
86 DiffBB.TwoPrecursor.86 -224.994893592692 459.989787185384
21 DiffBB.TwoPrecursor.27 -224.9948935789 459.989787157801
95 DiffBB.TwoPrecursor.94 -224.994893552094 459.989787104189
93 DiffBB.TwoPrecursor.92 -224.994893533525 459.98978706705
77 DiffBB.TwoPrecursor.78 -224.994893524602 459.989787049204
48 DiffBB.TwoPrecursor.51 -224.994893456198 459.989786912396
66 DiffBB.TwoPrecursor.68 -224.994893326727 459.989786653454
100 DiffBB.TwoPrecursor.99 -224.994893292361 459.989786584722
4 DiffBB.TwoPrecursor.11 -224.994893273655 459.989786547311
81 DiffBB.TwoPrecursor.81 -224.99489293678 459.98978587356
44 DiffBB.TwoPrecursor.48 -224.994892891812 459.989785783624
3 DiffBB.TwoPrecursor.100 -224.994892844582 459.989785689165
40 DiffBB.TwoPrecursor.44 -224.994892830383 459.989785660766
5 DiffBB.TwoPrecursor.12 -224.994892780803 459.989785561606
61 DiffBB.TwoPrecursor.63 -224.994892768517 459.989785537034
24 DiffBB.TwoPrecursor.3 -224.994892700015 459.98978540003
14 DiffBB.TwoPrecursor.20 -224.994892696463 459.989785392925
99 DiffBB.TwoPrecursor.98 -224.994892518332 459.989785036664
89 DiffBB.TwoPrecursor.89 -224.994892497318 459.989784994636
12 DiffBB.TwoPrecursor.19 -224.99489249519 459.989784990381
54 DiffBB.TwoPrecursor.57 -224.994892488096 459.989784976191
97 DiffBB.TwoPrecursor.96 -224.994892474096 459.989784948192
17 DiffBB.TwoPrecursor.23 -224.994892407977 459.989784815953
7 DiffBB.TwoPrecursor.14 -224.994892403354 459.989784806708
94 DiffBB.TwoPrecursor.93 -224.994892400374 459.989784800748
87 DiffBB.TwoPrecursor.87 -224.994892369453 459.989784738906
22 DiffBB.TwoPrecursor.28 -224.994892359542 459.989784719084
50 DiffBB.TwoPrecursor.53 -224.99489234178 459.98978468356
75 DiffBB.TwoPrecursor.76 -224.994892333511 459.989784667021
43 DiffBB.TwoPrecursor.47 -224.994892249548 459.989784499096
39 DiffBB.TwoPrecursor.43 -224.994892191706 459.989784383412
9 DiffBB.TwoPrecursor.16 -224.994892145378 459.989784290757
11 DiffBB.TwoPrecursor.18 -224.994892138302 459.989784276603
28 DiffBB.TwoPrecursor.33 -224.994892123864 459.989784247728
51 DiffBB.TwoPrecursor.54 -224.994892112293 459.989784224586
67 DiffBB.TwoPrecursor.69 -224.994892069599 459.989784139197
65 DiffBB.TwoPrecursor.67 -224.994892040207 459.989784080413
60 DiffBB.TwoPrecursor.62 -224.994892038831 459.989784077661
76 DiffBB.TwoPrecursor.77 -224.994892028007 459.989784056014
72 DiffBB.TwoPrecursor.73 -224.994891985729 459.989783971458
37 DiffBB.TwoPrecursor.41 -224.994891982021 459.989783964043
69 DiffBB.TwoPrecursor.70 -224.994891950658 459.989783901316
32 DiffBB.TwoPrecursor.37 -224.994891949856 459.989783899713
23 DiffBB.TwoPrecursor.29 -224.994891925837 459.989783851673
96 DiffBB.TwoPrecursor.95 -224.994891922829 459.989783845658
8 DiffBB.TwoPrecursor.15 -224.994891915277 459.989783830554
19 DiffBB.TwoPrecursor.25 -224.99489188398 459.98978376796
88 DiffBB.TwoPrecursor.88 -224.994891817367 459.989783634735
13 DiffBB.TwoPrecursor.2 -224.994891817107 459.989783634214
27 DiffBB.TwoPrecursor.32 -224.994891786502 459.989783573003
56 DiffBB.TwoPrecursor.59 -224.994891774627 459.989783549255
84 DiffBB.TwoPrecursor.84 -224.994891762637 459.989783525275
18 DiffBB.TwoPrecursor.24 -224.994891760567 459.989783521133
2 DiffBB.TwoPrecursor.10 -224.99489175953 459.98978351906
42 DiffBB.TwoPrecursor.46 -224.994891745588 459.989783491177
73 DiffBB.TwoPrecursor.74 -224.994891740293 459.989783480585
33 DiffBB.TwoPrecursor.38 -224.994891739847 459.989783479694
49 DiffBB.TwoPrecursor.52 -224.994891733618 459.989783467237
47 DiffBB.TwoPrecursor.50 -224.994891730878 459.989783461757
92 DiffBB.TwoPrecursor.91 -224.994891727677 459.989783455355
83 DiffBB.TwoPrecursor.83 -224.994891715695 459.989783431391
74 DiffBB.TwoPrecursor.75 -224.99489171219 459.989783424379
16 DiffBB.TwoPrecursor.22 -224.994891702626 459.989783405252
55 DiffBB.TwoPrecursor.58 -224.994891699721 459.989783399442
41 DiffBB.TwoPrecursor.45 -224.994891698197 459.989783396394
53 DiffBB.TwoPrecursor.56 -224.994891697496 459.989783394993
1 DiffBB.TwoPrecursor.1 -224.994891667662 459.989783335324
79 DiffBB.TwoPrecursor.8 -224.994891665951 459.989783331902
70 DiffBB.TwoPrecursor.71 -224.994891658809 459.989783317618
31 DiffBB.TwoPrecursor.36 -224.994891655953 459.989783311905
90 DiffBB.TwoPrecursor.9 -224.99489165376 459.989783307521
34 DiffBB.TwoPrecursor.39 -224.994891646133 459.989783292266
15 DiffBB.TwoPrecursor.21 -224.994891638471 459.989783276942
62 DiffBB.TwoPrecursor.64 -224.994891638173 459.989783276347
80 DiffBB.TwoPrecursor.80 -224.994891633326 459.989783266652
91 DiffBB.TwoPrecursor.90 -220.496470485739 450.992940971479
58 DiffBB.TwoPrecursor.60 -220.496341559662 450.992683119324
59 DiffBB.TwoPrecursor.61 -220.49633931944 450.99267863888
25 DiffBB.TwoPrecursor.30 -220.496336015273 450.992672030546
36 DiffBB.TwoPrecursor.40 -220.496332079951 450.992664159902
20 DiffBB.TwoPrecursor.26 -215.378698419044 440.757396838087
29 DiffBB.TwoPrecursor.34 -215.378590498833 440.757180997665
