Run likelihood
68 v6.TwoPrecursor.7 -236.69005225603
82 v6.TwoPrecursor.82 -236.689530125496
20 v6.TwoPrecursor.26 -236.689413264218
16 v6.TwoPrecursor.22 -236.689352864198
55 v6.TwoPrecursor.58 -218.185054490227
80 v6.TwoPrecursor.80 -218.185044699696
62 v6.TwoPrecursor.64 -218.185044444132
18 v6.TwoPrecursor.24 -218.185044162966
63 v6.TwoPrecursor.65 -218.18504411679
84 v6.TwoPrecursor.84 -218.185043411629
40 v6.TwoPrecursor.44 -218.185043180896
90 v6.TwoPrecursor.9 -218.185042608274
77 v6.TwoPrecursor.78 -218.185042349364
69 v6.TwoPrecursor.70 -218.185042234473
61 v6.TwoPrecursor.63 -218.185042187107
65 v6.TwoPrecursor.67 -218.185041996443
83 v6.TwoPrecursor.83 -218.185041895029
96 v6.TwoPrecursor.95 -218.185041787725
7 v6.TwoPrecursor.14 -218.185041559684
76 v6.TwoPrecursor.77 -218.185041499855
37 v6.TwoPrecursor.41 -218.185041338927
89 v6.TwoPrecursor.89 -218.185041207628
98 v6.TwoPrecursor.97 -218.185041094483
12 v6.TwoPrecursor.19 -218.185040861851
74 v6.TwoPrecursor.75 -218.185040836101
23 v6.TwoPrecursor.29 -218.185040818074
32 v6.TwoPrecursor.37 -218.185040745621
51 v6.TwoPrecursor.54 -218.185040683202
11 v6.TwoPrecursor.18 -218.185040669124
1 v6.TwoPrecursor.1 -218.185040548935
72 v6.TwoPrecursor.73 -218.185040547423
26 v6.TwoPrecursor.31 -218.185040530299
49 v6.TwoPrecursor.52 -218.185040517395
88 v6.TwoPrecursor.88 -218.185040513523
28 v6.TwoPrecursor.33 -218.185040494026
31 v6.TwoPrecursor.36 -218.185040421846
67 v6.TwoPrecursor.69 -218.185040399958
53 v6.TwoPrecursor.56 -218.185040374546
9 v6.TwoPrecursor.16 -218.185040373747
64 v6.TwoPrecursor.66 -218.185040342681
58 v6.TwoPrecursor.60 -218.185040316647
87 v6.TwoPrecursor.87 -218.185040268873
81 v6.TwoPrecursor.81 -218.185040260021
2 v6.TwoPrecursor.10 -218.185040235328
45 v6.TwoPrecursor.49 -218.18504023396
34 v6.TwoPrecursor.39 -218.18504020458
6 v6.TwoPrecursor.13 -218.185040181797
41 v6.TwoPrecursor.45 -218.185040181704
17 v6.TwoPrecursor.23 -218.185040169047
35 v6.TwoPrecursor.4 -218.185040160292
66 v6.TwoPrecursor.68 -218.185040156055
4 v6.TwoPrecursor.11 -218.185040153034
48 v6.TwoPrecursor.51 -218.185040149521
19 v6.TwoPrecursor.25 -218.18504013984
71 v6.TwoPrecursor.72 -218.185040134539
22 v6.TwoPrecursor.28 -218.185040119429
100 v6.TwoPrecursor.99 -218.185040115938
15 v6.TwoPrecursor.21 -218.185040098114
94 v6.TwoPrecursor.93 -218.185040080838
56 v6.TwoPrecursor.59 -218.185040071408
54 v6.TwoPrecursor.57 -218.185040051218
33 v6.TwoPrecursor.38 -218.185040042076
27 v6.TwoPrecursor.32 -218.185040036152
99 v6.TwoPrecursor.98 -218.185040034095
70 v6.TwoPrecursor.71 -218.185040030593
38 v6.TwoPrecursor.42 -218.185039999989
44 v6.TwoPrecursor.48 -218.185039997035
78 v6.TwoPrecursor.79 -218.185039986455
10 v6.TwoPrecursor.17 -218.185039981327
36 v6.TwoPrecursor.40 -218.185039969899
85 v6.TwoPrecursor.85 -218.185039968469
57 v6.TwoPrecursor.6 -218.185039967887
93 v6.TwoPrecursor.92 -218.185039955482
13 v6.TwoPrecursor.2 -218.18503994658
42 v6.TwoPrecursor.46 -218.185039944983
21 v6.TwoPrecursor.27 -218.185039944791
5 v6.TwoPrecursor.12 -218.185039944671
73 v6.TwoPrecursor.74 -218.185039937892
92 v6.TwoPrecursor.91 -218.185039925995
24 v6.TwoPrecursor.3 -218.18503992457
79 v6.TwoPrecursor.8 -218.185039917975
30 v6.TwoPrecursor.35 -218.185039917939
14 v6.TwoPrecursor.20 -218.185039916622
60 v6.TwoPrecursor.62 -218.1850399064
3 v6.TwoPrecursor.100 -218.185039904838
75 v6.TwoPrecursor.76 -218.185039902649
50 v6.TwoPrecursor.53 -218.185039902227
97 v6.TwoPrecursor.96 -218.185039897003
43 v6.TwoPrecursor.47 -218.185039883397
29 v6.TwoPrecursor.34 -214.433950916932
52 v6.TwoPrecursor.55 -207.696026837437
46 v6.TwoPrecursor.5 -207.696019028911
59 v6.TwoPrecursor.61 -206.68894974124
39 v6.TwoPrecursor.43 -206.686229955899
47 v6.TwoPrecursor.50 -206.68564556544
25 v6.TwoPrecursor.30 -206.685273317409
91 v6.TwoPrecursor.90 -206.685211853494
8 v6.TwoPrecursor.15 -206.685124579128
86 v6.TwoPrecursor.86 -206.685114563249
95 v6.TwoPrecursor.94 -206.685110660004
