Run likelihood AICc
93 DiffBB.TwoRates.93 -243.895138256199 499.790276512397
35 DiffBB.TwoRates.40 -243.891693084513 499.783386169025
14 DiffBB.TwoRates.21 -243.887612390788 499.775224781577
81 DiffBB.TwoRates.82 -243.887104491502 499.774208983004
11 DiffBB.TwoRates.19 -243.884328330137 499.768656660274
77 DiffBB.TwoRates.79 -243.883521712154 499.767043424308
69 DiffBB.TwoRates.71 -243.883351058223 499.766702116446
75 DiffBB.TwoRates.77 -243.883061990136 499.766123980272
32 DiffBB.TwoRates.38 -243.883002803218 499.766005606436
50 DiffBB.TwoRates.54 -243.882971506472 499.765943012944
46 DiffBB.TwoRates.50 -243.882946371999 499.765892743998
12 DiffBB.TwoRates.2 -243.882700665152 499.765401330304
79 DiffBB.TwoRates.80 -243.882637822278 499.765275644556
43 DiffBB.TwoRates.48 -243.882619976633 499.765239953266
78 DiffBB.TwoRates.8 -243.882562392501 499.765124785003
19 DiffBB.TwoRates.26 -243.882472029369 499.764944058739
87 DiffBB.TwoRates.88 -243.882457044337 499.764914088674
9 DiffBB.TwoRates.17 -243.882403843435 499.76480768687
1 DiffBB.TwoRates.10 -243.882379969003 499.764759938007
42 DiffBB.TwoRates.47 -243.882365035702 499.764730071403
26 DiffBB.TwoRates.32 -243.882364758106 499.764729516212
59 DiffBB.TwoRates.62 -243.882360118517 499.764720237033
70 DiffBB.TwoRates.72 -243.474210799202 498.948421598404
92 DiffBB.TwoRates.92 -242.79201220173 497.58402440346
68 DiffBB.TwoRates.70 -242.7917369119 497.583473823799
3 DiffBB.TwoRates.11 -242.791726025107 497.583452050214
65 DiffBB.TwoRates.68 -242.791726020318 497.583452040636
15 DiffBB.TwoRates.22 -242.791723184864 497.583446369727
71 DiffBB.TwoRates.73 -242.791722245801 497.583444491601
49 DiffBB.TwoRates.53 -242.791721751102 497.583443502204
7 DiffBB.TwoRates.15 -237.435982624273 486.871965248546
72 DiffBB.TwoRates.74 -236.212150845285 484.42430169057
57 DiffBB.TwoRates.60 -236.203301505896 484.406603011792
33 DiffBB.TwoRates.39 -236.198864003198 484.397728006395
83 DiffBB.TwoRates.84 -236.198507957949 484.397015915898
22 DiffBB.TwoRates.29 -236.198128314582 484.396256629164
38 DiffBB.TwoRates.43 -236.19793390349 484.395867806979
73 DiffBB.TwoRates.75 -236.197785356503 484.395570713005
60 DiffBB.TwoRates.63 -236.19777226726 484.39554453452
44 DiffBB.TwoRates.49 -236.196904341535 484.393808683071
97 DiffBB.TwoRates.97 -236.19687044768 484.393740895361
17 DiffBB.TwoRates.24 -236.196705365639 484.393410731278
16 DiffBB.TwoRates.23 -236.19663757023 484.39327514046
20 DiffBB.TwoRates.27 -236.196618082865 484.39323616573
88 DiffBB.TwoRates.89 -236.196576022277 484.393152044555
13 DiffBB.TwoRates.20 -229.986774845801 471.973549691602
24 DiffBB.TwoRates.30 -229.986774114006 471.973548228012
6 DiffBB.TwoRates.14 -229.986773176528 471.973546353057
56 DiffBB.TwoRates.6 -229.986772618591 471.973545237183
94 DiffBB.TwoRates.94 -229.98677258705 471.9735451741
53 DiffBB.TwoRates.57 -220.576527968512 453.153055937025
18 DiffBB.TwoRates.25 -220.49702265154 452.99404530308
58 DiffBB.TwoRates.61 -220.496954924561 452.993909849122
63 DiffBB.TwoRates.66 -220.496668401133 452.993336802265
62 DiffBB.TwoRates.65 -220.496470874096 452.992941748193
85 DiffBB.TwoRates.86 -220.496417465711 452.992834931421
51 DiffBB.TwoRates.55 -220.496413007834 452.992826015669
31 DiffBB.TwoRates.37 -219.399523125303 450.799046250606
64 DiffBB.TwoRates.67 -219.39947756344 450.798955126881
84 DiffBB.TwoRates.85 -219.397805707434 450.795611414869
80 DiffBB.TwoRates.81 -219.397339990774 450.794679981548
54 DiffBB.TwoRates.58 -219.39733177899 450.794663557981
52 DiffBB.TwoRates.56 -219.39732927909 450.794658558181
95 DiffBB.TwoRates.95 -219.397296502873 450.794593005747
48 DiffBB.TwoRates.52 -219.397296190959 450.794592381918
89 DiffBB.TwoRates.9 -219.397294905786 450.794589811572
74 DiffBB.TwoRates.76 -219.397292608441 450.794585216883
37 DiffBB.TwoRates.42 -219.397287250645 450.794574501289
36 DiffBB.TwoRates.41 -219.397284662013 450.794569324026
61 DiffBB.TwoRates.64 -219.397284056949 450.794568113898
76 DiffBB.TwoRates.78 -219.397283942062 450.794567884124
28 DiffBB.TwoRates.34 -219.397282805086 450.794565610172
4 DiffBB.TwoRates.12 -219.397282526129 450.794565052258
96 DiffBB.TwoRates.96 -219.397282352123 450.794564704247
25 DiffBB.TwoRates.31 -219.397282283283 450.794564566565
39 DiffBB.TwoRates.44 -219.397282172868 450.794564345737
23 DiffBB.TwoRates.3 -219.397282168009 450.794564336018
99 DiffBB.TwoRates.99 -219.397282013929 450.794564027858
40 DiffBB.TwoRates.45 -219.397281998299 450.794563996599
5 DiffBB.TwoRates.13 -219.397281862727 450.794563725454
27 DiffBB.TwoRates.33 -219.397281797559 450.794563595119
91 DiffBB.TwoRates.91 -219.397281642965 450.79456328593
30 DiffBB.TwoRates.36 -219.397281611478 450.794563222955
47 DiffBB.TwoRates.51 -219.397281605587 450.794563211174
2 DiffBB.TwoRates.100 -217.290880197675 446.581760395349
10 DiffBB.TwoRates.18 -217.29045568771 446.58091137542
41 DiffBB.TwoRates.46 -217.290454921782 446.580909843564
8 DiffBB.TwoRates.16 -215.378705756742 442.757411513484
82 DiffBB.TwoRates.83 -215.378680360209 442.757360720419
86 DiffBB.TwoRates.87 -215.378673507541 442.757347015081
66 DiffBB.TwoRates.69 -215.378671778755 442.757343557511
90 DiffBB.TwoRates.90 -215.378671739341 442.757343478682
29 DiffBB.TwoRates.35 -215.378671566542 442.757343133084
34 DiffBB.TwoRates.4 -215.378671190739 442.757342381478
21 DiffBB.TwoRates.28 -215.378671005828 442.757342011657
55 DiffBB.TwoRates.59 -215.378670958338 442.757341916677
67 DiffBB.TwoRates.7 -215.378670754732 442.757341509464
45 DiffBB.TwoRates.5 -215.378670622248 442.757341244497
98 DiffBB.TwoRates.98 -215.378670615512 442.757341231025
