Run AICc
49 v6.TwoRates.52 443.322666525791
26 v6.TwoRates.31 443.322666763931
42 v6.TwoRates.46 443.322674143762
99 v6.TwoRates.98 443.32267507129
85 v6.TwoRates.85 443.322678526765
79 v6.TwoRates.8 443.322683029994
68 v6.TwoRates.7 443.32269757561
41 v6.TwoRates.45 443.322697764258
67 v6.TwoRates.69 443.322701863097
31 v6.TwoRates.36 443.322702576755
62 v6.TwoRates.64 443.322706601215
32 v6.TwoRates.37 443.322801349943
30 v6.TwoRates.35 443.322897625833
29 v6.TwoRates.34 443.323136326136
6 v6.TwoRates.13 443.324616106197
81 v6.TwoRates.81 443.325392664331
5 v6.TwoRates.12 455.080921030179
100 v6.TwoRates.99 455.080921124706
24 v6.TwoRates.3 455.080921126938
53 v6.TwoRates.56 455.08092112763
92 v6.TwoRates.91 455.080921174179
75 v6.TwoRates.76 455.080921731089
90 v6.TwoRates.9 455.080921927768
37 v6.TwoRates.41 455.080921940249
38 v6.TwoRates.42 455.080922065007
40 v6.TwoRates.44 455.080922634999
77 v6.TwoRates.78 455.080923795826
94 v6.TwoRates.93 455.08092383343
3 v6.TwoRates.100 455.080927070245
55 v6.TwoRates.58 455.080929065711
97 v6.TwoRates.96 455.080933839926
28 v6.TwoRates.33 455.080950539224
8 v6.TwoRates.15 455.72505988019
72 v6.TwoRates.73 455.742208668161
57 v6.TwoRates.6 455.742209840838
93 v6.TwoRates.92 455.742210381486
64 v6.TwoRates.66 455.742243879448
95 v6.TwoRates.94 455.742258103813
48 v6.TwoRates.51 455.742263697151
52 v6.TwoRates.55 455.742480884459
63 v6.TwoRates.65 455.770771004505
19 v6.TwoRates.25 475.213338154262
59 v6.TwoRates.61 475.213338790546
70 v6.TwoRates.71 475.213342207127
83 v6.TwoRates.83 476.970802509591
16 v6.TwoRates.22 476.970903874666
73 v6.TwoRates.74 479.791910661223
34 v6.TwoRates.39 479.791910712776
69 v6.TwoRates.70 479.791910793184
4 v6.TwoRates.11 479.79191079852
23 v6.TwoRates.29 479.791910856171
86 v6.TwoRates.86 479.791910889246
1 v6.TwoRates.1 479.791911005208
89 v6.TwoRates.89 479.791911107455
27 v6.TwoRates.32 479.791911694689
56 v6.TwoRates.59 479.791911752409
66 v6.TwoRates.68 479.791911789554
98 v6.TwoRates.97 479.791911951074
17 v6.TwoRates.23 479.791912629028
61 v6.TwoRates.63 479.791912650855
2 v6.TwoRates.10 479.791912860344
45 v6.TwoRates.49 479.791913043994
21 v6.TwoRates.27 479.791913323537
15 v6.TwoRates.21 479.791918116163
50 v6.TwoRates.53 479.791957569426
54 v6.TwoRates.57 483.609655300873
84 v6.TwoRates.84 483.609656681839
18 v6.TwoRates.24 483.609656897891
65 v6.TwoRates.67 483.609661271944
22 v6.TwoRates.28 483.609682755971
58 v6.TwoRates.60 483.62182008344
39 v6.TwoRates.43 483.629463592849
36 v6.TwoRates.40 498.509185668162
96 v6.TwoRates.95 498.51627830639
74 v6.TwoRates.75 498.527429773662
43 v6.TwoRates.47 499.178441127545
46 v6.TwoRates.5 499.466663354112
78 v6.TwoRates.79 499.987493386626
71 v6.TwoRates.72 499.991926663831
76 v6.TwoRates.77 499.992209302316
44 v6.TwoRates.48 499.992653689185
20 v6.TwoRates.26 499.992846487265
51 v6.TwoRates.54 499.992868518548
10 v6.TwoRates.17 499.992892778382
60 v6.TwoRates.62 499.992982943112
12 v6.TwoRates.19 499.992991118896
35 v6.TwoRates.4 499.992991146611
14 v6.TwoRates.20 499.993008838044
11 v6.TwoRates.18 499.993052884688
9 v6.TwoRates.16 499.993081393169
47 v6.TwoRates.50 499.993100955237
33 v6.TwoRates.38 499.993123615879
13 v6.TwoRates.2 499.993143238079
25 v6.TwoRates.30 499.993234561304
82 v6.TwoRates.82 499.993360984034
87 v6.TwoRates.87 499.993570031817
91 v6.TwoRates.90 499.993706316948
88 v6.TwoRates.88 499.993847555006
80 v6.TwoRates.80 499.994106270838
7 v6.TwoRates.14 500.000480203753
