Run likelihood AICc
1 v6.Three.Precursor.1 -231.319118732889 484.638237465777
89 v6.Three.Precursor.89 -227.205093968404 476.410187936808
20 v6.Three.Precursor.26 -226.980141203118 475.960282406236
6 v6.Three.Precursor.13 -226.980123387124 475.960246774248
14 v6.Three.Precursor.20 -226.98011604156 475.960232083119
19 v6.Three.Precursor.25 -226.980106818858 475.960213637717
48 v6.Three.Precursor.51 -222.254231089177 466.508462178355
72 v6.Three.Precursor.73 -221.484016981602 464.968033963204
25 v6.Three.Precursor.30 -221.390327285658 464.780654571316
93 v6.Three.Precursor.92 -221.254460450096 464.508920900191
64 v6.Three.Precursor.66 -221.21226924009 464.424538480179
95 v6.Three.Precursor.94 -220.878879748545 463.75775949709
18 v6.Three.Precursor.24 -218.985421800448 459.970843600896
94 v6.Three.Precursor.93 -218.985406028723 459.970812057446
82 v6.Three.Precursor.82 -218.985401450344 459.970802900687
32 v6.Three.Precursor.37 -217.813889272675 457.62777854535
74 v6.Three.Precursor.75 -217.050985115579 456.101970231159
33 v6.Three.Precursor.38 -217.049296392211 456.098592784421
2 v6.Three.Precursor.10 -217.049057425924 456.098114851848
45 v6.Three.Precursor.49 -217.048690978584 456.097381957169
8 v6.Three.Precursor.15 -217.048647367713 456.097294735425
21 v6.Three.Precursor.27 -217.048644628741 456.097289257482
98 v6.Three.Precursor.97 -217.048626733492 456.097253466983
22 v6.Three.Precursor.28 -217.048610588412 456.097221176825
44 v6.Three.Precursor.48 -217.048601288425 456.097202576851
49 v6.Three.Precursor.52 -217.048585133124 456.097170266249
57 v6.Three.Precursor.6 -217.048584759791 456.097169519581
42 v6.Three.Precursor.46 -217.048584717563 456.097169435126
83 v6.Three.Precursor.83 -217.048584092633 456.097168185266
17 v6.Three.Precursor.23 -217.048583601411 456.097167202822
51 v6.Three.Precursor.54 -217.04858351005 456.0971670201
31 v6.Three.Precursor.36 -217.048583484233 456.097166968466
66 v6.Three.Precursor.68 -217.048583451598 456.097166903197
34 v6.Three.Precursor.39 -216.010828921393 454.021657842786
28 v6.Three.Precursor.33 -215.40263429055 452.805268581101
67 v6.Three.Precursor.69 -215.376772975073 452.753545950146
86 v6.Three.Precursor.86 -215.203046959883 452.406093919767
90 v6.Three.Precursor.9 -215.149191209034 452.298382418069
10 v6.Three.Precursor.17 -215.148232480283 452.296464960565
84 v6.Three.Precursor.84 -215.148137872887 452.296275745774
70 v6.Three.Precursor.71 -215.148068035629 452.296136071259
81 v6.Three.Precursor.81 -215.147863815544 452.295727631087
55 v6.Three.Precursor.58 -215.147855934984 452.295711869967
7 v6.Three.Precursor.14 -215.147834275071 452.295668550142
59 v6.Three.Precursor.61 -215.147818759559 452.295637519118
30 v6.Three.Precursor.35 -215.147815769467 452.295631538935
3 v6.Three.Precursor.100 -215.147800432553 452.295600865106
16 v6.Three.Precursor.22 -215.147796211978 452.295592423957
79 v6.Three.Precursor.8 -215.14779403898 452.295588077961
53 v6.Three.Precursor.56 -215.147792791538 452.295585583077
5 v6.Three.Precursor.12 -215.147792478466 452.295584956932
91 v6.Three.Precursor.90 -215.147791902333 452.295583804665
75 v6.Three.Precursor.76 -215.147791350278 452.295582700555
43 v6.Three.Precursor.47 -215.14779063376 452.29558126752
58 v6.Three.Precursor.60 -215.147789905346 452.295579810692
88 v6.Three.Precursor.88 -214.410899988045 450.821799976091
78 v6.Three.Precursor.79 -214.410352399089 450.820704798177
54 v6.Three.Precursor.57 -214.406566304628 450.813132609257
35 v6.Three.Precursor.4 -214.254579122954 450.509158245908
65 v6.Three.Precursor.67 -213.750914528804 449.501829057607
29 v6.Three.Precursor.34 -213.254540186568 448.509080373135
87 v6.Three.Precursor.87 -213.23265113613 448.46530227226
38 v6.Three.Precursor.42 -213.231003806039 448.462007612078
36 v6.Three.Precursor.40 -213.223306044756 448.446612089512
41 v6.Three.Precursor.45 -213.2230716219 448.4461432438
12 v6.Three.Precursor.19 -212.988015283451 447.976030566903
24 v6.Three.Precursor.3 -212.986290299111 447.972580598221
9 v6.Three.Precursor.16 -212.986237911666 447.972475823332
27 v6.Three.Precursor.32 -212.986186504215 447.97237300843
96 v6.Three.Precursor.95 -212.986122154833 447.972244309666
100 v6.Three.Precursor.99 -212.986067857371 447.972135714742
92 v6.Three.Precursor.91 -212.986030526463 447.972061052926
40 v6.Three.Precursor.44 -212.98583450709 447.971669014181
77 v6.Three.Precursor.78 -212.985792544772 447.971585089543
47 v6.Three.Precursor.50 -212.985737195307 447.971474390615
26 v6.Three.Precursor.31 -212.221176380048 446.442352760095
76 v6.Three.Precursor.77 -208.975760019829 439.951520039658
99 v6.Three.Precursor.98 -208.974708971799 439.949417943598
97 v6.Three.Precursor.96 -208.971696694277 439.943393388553
39 v6.Three.Precursor.43 -208.970744817618 439.941489635236
62 v6.Three.Precursor.64 -208.97063461784 439.941269235679
13 v6.Three.Precursor.2 -208.970616745234 439.941233490469
50 v6.Three.Precursor.53 -208.970604300687 439.941208601373
63 v6.Three.Precursor.65 -208.970530600477 439.941061200953
56 v6.Three.Precursor.59 -208.970510921617 439.941021843234
37 v6.Three.Precursor.41 -208.970491120907 439.940982241815
61 v6.Three.Precursor.63 -208.970480102015 439.94096020403
69 v6.Three.Precursor.70 -208.970479942672 439.940959885344
4 v6.Three.Precursor.11 -208.970477637975 439.94095527595
52 v6.Three.Precursor.55 -208.970452737548 439.940905475097
23 v6.Three.Precursor.29 -208.970438937451 439.940877874902
11 v6.Three.Precursor.18 -208.970408994953 439.940817989905
85 v6.Three.Precursor.85 -208.970408211237 439.940816422474
80 v6.Three.Precursor.80 -208.970406162717 439.940812325434
46 v6.Three.Precursor.5 -208.970382769743 439.940765539486
68 v6.Three.Precursor.7 -208.970375250679 439.940750501358
15 v6.Three.Precursor.21 -208.97037088096 439.94074176192
60 v6.Three.Precursor.62 -208.970369719142 439.940739438284
71 v6.Three.Precursor.72 -208.970364013788 439.940728027575
73 v6.Three.Precursor.74 -208.970332229294 439.940664458589
