Run AICc
35 ThreeStates4 462.045611358171
28 ThreeStates33 467.198210883564
42 ThreeStates6 467.260149744124
45 ThreeStates9 467.260312991993
26 ThreeStates31 467.284425405119
27 ThreeStates32 469.415280607458
2 ThreeStates1 472.417538315918
25 ThreeStates30 472.417765176188
6 ThreeStates13 472.417767794906
41 ThreeStates5 472.417832071298
36 ThreeStates40 472.41784821845
21 ThreeStates27 472.418064648669
29 ThreeStates34 472.418478954075
4 ThreeStates11 472.41895604079
34 ThreeStates39 472.422424629458
38 ThreeStates42 472.424140727978
9 ThreeStates16 472.430047132552
22 ThreeStates28 472.434321332701
7 ThreeStates14 472.434927142465
13 ThreeStates2 472.436756564002
10 ThreeStates17 472.43780022184
8 ThreeStates15 472.439429305542
3 ThreeStates10 472.443956550601
33 ThreeStates38 472.462862111171
37 ThreeStates41 472.500253164321
31 ThreeStates36 472.512810859402
18 ThreeStates24 478.656360450947
44 ThreeStates8 478.965585276528
16 ThreeStates22 508.886534169854
43 ThreeStates7 508.886625280599
11 ThreeStates18 508.886686478285
1 ThreeStates 508.923404471594
40 ThreeStates44 508.923404471594
30 ThreeStates35 508.923752629937
23 ThreeStates29 508.92562332427
5 ThreeStates12 509.417050384036
14 ThreeStates20 509.440801368837
39 ThreeStates43 509.975362486407
17 ThreeStates23 527.636493014828
24 ThreeStates3 527.636497122056
15 ThreeStates21 527.636506607069
19 ThreeStates25 527.63651995148
12 ThreeStates19 527.641487294059
32 ThreeStates37 527.645382160784
20 ThreeStates26 539.056645627049
