Run likelihood AICc
82 AncPres.OneRates.83 -249.007114925878 502.014229851756
87 AncPres.OneRates.88 -249.007108829967 502.014217659934
80 AncPres.OneRates.81 -249.007108668032 502.014217336063
88 AncPres.OneRates.89 -249.007108280954 502.014216561909
46 AncPres.OneRates.50 -249.007108011498 502.014216022995
97 AncPres.OneRates.97 -249.007107533167 502.014215066334
19 AncPres.OneRates.26 -249.00710738112 502.014214762239
5 AncPres.OneRates.13 -249.00710704396 502.01421408792
50 AncPres.OneRates.54 -249.00710693818 502.01421387636
92 AncPres.OneRates.92 -249.007106853775 502.01421370755
11 AncPres.OneRates.19 -249.007106756858 502.014213513717
79 AncPres.OneRates.80 -249.007106728656 502.014213457313
37 AncPres.OneRates.42 -249.007106720059 502.014213440117
94 AncPres.OneRates.94 -249.007106628678 502.014213257356
54 AncPres.OneRates.58 -249.007106601646 502.014213203291
14 AncPres.OneRates.21 -249.007106596446 502.014213192893
39 AncPres.OneRates.44 -249.007106574698 502.014213149396
57 AncPres.OneRates.60 -249.007106557592 502.014213115184
12 AncPres.OneRates.2 -249.007106478054 502.014212956108
8 AncPres.OneRates.16 -249.007106420193 502.014212840385
98 AncPres.OneRates.98 -249.007106416209 502.014212832418
43 AncPres.OneRates.48 -249.007106329891 502.014212659783
38 AncPres.OneRates.43 -249.007106299915 502.014212599829
4 AncPres.OneRates.12 -249.007106261519 502.014212523038
23 AncPres.OneRates.3 -249.007106212501 502.014212425001
26 AncPres.OneRates.32 -249.007106197103 502.014212394205
9 AncPres.OneRates.17 -249.007106171771 502.014212343542
30 AncPres.OneRates.36 -249.007106160347 502.014212320694
62 AncPres.OneRates.65 -249.007106115129 502.014212230259
60 AncPres.OneRates.63 -249.00710607836 502.014212156721
25 AncPres.OneRates.31 -249.007106069859 502.014212139718
91 AncPres.OneRates.91 -249.007106045014 502.014212090029
10 AncPres.OneRates.18 -249.007105990646 502.014211981292
31 AncPres.OneRates.37 -249.007105967525 502.014211935049
