Run AICc
25 v6.FourRates.96 448.167418479815
23 v6.FourRates.82 451.150875530295
13 v6.FourRates.46 455.016441590239
9 v6.FourRates.32 456.762894393999
14 v6.FourRates.48 458.820360701035
19 v6.FourRates.58 459.861038819161
18 v6.FourRates.56 478.822056754942
15 v6.FourRates.49 478.822207513484
22 v6.FourRates.75 480.614584205373
2 v6.FourRates.13 488.118958913489
3 v6.FourRates.16 488.121642984072
8 v6.FourRates.27 488.122312793742
4 v6.FourRates.18 488.123419413815
11 v6.FourRates.40 488.92753439466
21 v6.FourRates.6 496.780140653269
7 v6.FourRates.21 496.788820675412
1 v6.FourRates.11 496.789618540528
17 v6.FourRates.53 496.791002716223
6 v6.FourRates.20 496.79145360069
20 v6.FourRates.59 496.792292844846
27 v6.FourRates.99 496.79314167608
24 v6.FourRates.90 496.793946854126
10 v6.FourRates.37 496.8013017713
26 v6.FourRates.98 496.855339896341
16 v6.FourRates.51 512.54719167497
12 v6.FourRates.43 513.273178632079
5 v6.FourRates.2 521.41300707021
