"","Run","likelihood","AIC"
"1","AncPres.Three.Precursor.42",-195.439528612948,412.879057225895
"2","AncPres.Three.Precursor.93",-195.439535280026,412.879070560052
"3","AncPres.Three.Precursor.32",-195.439535902866,412.879071805732
"4","AncPres.Three.Precursor.4",-195.439541006479,412.879082012957
"5","AncPres.Three.Precursor.50",-195.439545166268,412.879090332536
"6","AncPres.Three.Precursor.16",-195.439547054405,412.87909410881
"7","AncPres.Three.Precursor.95",-195.439556535202,412.879113070404
"8","AncPres.Three.Precursor.55",-195.439560743169,412.879121486338
"9","AncPres.Three.Precursor.76",-195.439565683996,412.879131367993
"10","AncPres.Three.Precursor.58",-195.439566683329,412.879133366658
"11","AncPres.Three.Precursor.78",-195.439600953698,412.879201907396
"12","AncPres.Three.Precursor.48",-195.439601931564,412.879203863129
"13","AncPres.Three.Precursor.60",-195.439603541117,412.879207082235
"14","AncPres.Three.Precursor.92",-195.439605232337,412.879210464673
"15","AncPres.Three.Precursor.41",-195.439705014611,412.879410029222
"16","AncPres.Three.Precursor.2",-195.439750208904,412.879500417807
"17","AncPres.Three.Precursor.77",-195.439756639857,412.879513279713
"18","AncPres.Three.Precursor.94",-195.440587373319,412.881174746638
"19","AncPres.Three.Precursor.13",-195.503319152115,413.00663830423
"20","AncPres.Three.Precursor.45",-198.298237845583,418.596475691167
"21","AncPres.Three.Precursor.18",-198.299485122768,418.598970245536
"22","AncPres.Three.Precursor.29",-198.483520611572,418.967041223145
"23","AncPres.Three.Precursor.70",-198.485220863879,418.970441727758
"24","AncPres.Three.Precursor.9",-198.49125635121,418.982512702419
"25","AncPres.Three.Precursor.19",-198.500489424304,419.000978848607
"26","AncPres.Three.Precursor.72",-198.508160619303,419.016321238605
"27","AncPres.Three.Precursor.11",-198.99606259345,419.9921251869
"28","AncPres.Three.Precursor.87",-198.996102030388,419.992204060776
"29","AncPres.Three.Precursor.47",-198.996109520624,419.992219041248
"30","AncPres.Three.Precursor.44",-198.996118928604,419.992237857208
"31","AncPres.Three.Precursor.81",-198.996157397168,419.992314794336
"32","AncPres.Three.Precursor.20",-198.996169355288,419.992338710576
"33","AncPres.Three.Precursor.54",-198.996204208136,419.992408416272
"34","AncPres.Three.Precursor.88",-198.996213715307,419.992427430614
"35","AncPres.Three.Precursor.26",-198.996236922882,419.992473845764
"36","AncPres.Three.Precursor.38",-198.996238182579,419.992476365158
"37","AncPres.Three.Precursor.85",-198.996272508398,419.992545016796
"38","AncPres.Three.Precursor.33",-198.996289773581,419.992579547163
"39","AncPres.Three.Precursor.89",-198.996435770036,419.992871540072
"40","AncPres.Three.Precursor.37",-198.996686252051,419.993372504103
"41","AncPres.Three.Precursor.8",-198.996893706191,419.993787412383
"42","AncPres.Three.Precursor.84",-198.997315300502,419.994630601003
"43","AncPres.Three.Precursor.31",-201.372363073481,424.744726146962
"44","AncPres.Three.Precursor.1",-201.377318287176,424.754636574352
"45","AncPres.Three.Precursor.7",-202.069507186317,426.139014372634
"46","AncPres.Three.Precursor.23",-202.279005127323,426.558010254646
"47","AncPres.Three.Precursor.35",-202.279060620696,426.558121241392
"48","AncPres.Three.Precursor.3",-202.279524382983,426.559048765966
"49","AncPres.Three.Precursor.79",-203.149106553367,428.298213106735
"50","AncPres.Three.Precursor.27",-203.149108216069,428.298216432139
"51","AncPres.Three.Precursor.46",-203.149112311161,428.298224622323
"52","AncPres.Three.Precursor.66",-203.149130926401,428.298261852803
"53","AncPres.Three.Precursor.22",-203.14915347038,428.29830694076
"54","AncPres.Three.Precursor.59",-203.149167079939,428.298334159879
"55","AncPres.Three.Precursor.67",-203.149252033186,428.298504066372
"56","AncPres.Three.Precursor.65",-203.149270191318,428.298540382636
"57","AncPres.Three.Precursor.80",-203.149447365594,428.298894731188
"58","AncPres.Three.Precursor.43",-203.792230295759,429.584460591518
"59","AncPres.Three.Precursor.90",-203.793851064935,429.58770212987
"60","AncPres.Three.Precursor.97",-204.561253222784,431.122506445567
"61","AncPres.Three.Precursor.83",-204.561253369773,431.122506739547
"62","AncPres.Three.Precursor.52",-204.561253785976,431.122507571952
"63","AncPres.Three.Precursor.63",-204.561255414278,431.122510828556
"64","AncPres.Three.Precursor.5",-204.561259670885,431.122519341771
"65","AncPres.Three.Precursor.30",-204.561259938447,431.122519876893
"66","AncPres.Three.Precursor.64",-204.561267524317,431.122535048634
"67","AncPres.Three.Precursor.15",-204.5613026699,431.122605339801
"68","AncPres.Three.Precursor.36",-204.561362534176,431.122725068352
"69","AncPres.Three.Precursor.62",-204.561546969308,431.123093938615
"70","AncPres.Three.Precursor.10",-204.561553166571,431.123106333142
"71","AncPres.Three.Precursor.39",-204.561622009873,431.123244019746
"72","AncPres.Three.Precursor.24",-205.992468305945,433.98493661189
"73","AncPres.Three.Precursor.49",-205.994542914525,433.989085829049
"74","AncPres.Three.Precursor.6",-206.022295886064,434.044591772128
"75","AncPres.Three.Precursor.74",-206.29413665176,434.58827330352
"76","AncPres.Three.Precursor.99",-207.347491894316,436.694983788631
"77","AncPres.Three.Precursor.12",-209.178752887181,440.357505774361
"78","AncPres.Three.Precursor.82",-209.178752923426,440.357505846851
"79","AncPres.Three.Precursor.25",-209.178753382747,440.357506765493
"80","AncPres.Three.Precursor.28",-209.178756616322,440.357513232645
"81","AncPres.Three.Precursor.57",-209.553352770812,441.106705541624
"82","AncPres.Three.Precursor.40",-209.562427589913,441.124855179825
"83","AncPres.Three.Precursor.98",-209.562488651291,441.124977302581
"84","AncPres.Three.Precursor.61",-209.562604836655,441.12520967331
"85","AncPres.Three.Precursor.75",-209.56359672298,441.12719344596
"86","AncPres.Three.Precursor.73",-209.563639868417,441.127279736834
"87","AncPres.Three.Precursor.21",-209.563647125512,441.127294251024
"88","AncPres.Three.Precursor.71",-209.563702272997,441.127404545993
"89","AncPres.Three.Precursor.68",-209.563759952886,441.127519905773
"90","AncPres.Three.Precursor.17",-209.563882182964,441.127764365927
"91","AncPres.Three.Precursor.91",-209.564027070883,441.128054141767
"92","AncPres.Three.Precursor.100",-210.477011761326,442.954023522653
"93","AncPres.Three.Precursor.53",-210.477571342505,442.95514268501
"94","AncPres.Three.Precursor.14",-211.091031210292,444.182062420583
"95","AncPres.Three.Precursor.96",-211.780951650136,445.561903300272
"96","AncPres.Three.Precursor.34",-211.781026316442,445.562052632883
"97","AncPres.Three.Precursor.56",-211.781041898104,445.562083796208
"98","AncPres.Three.Precursor.69",-211.781183281416,445.562366562831
"99","AncPres.Three.Precursor.51",-230.966278980554,483.932557961108
"100","AncPres.Three.Precursor.86",-231.245274997558,484.490549995116
