Run likelihood
20 ThreeStates26 -255.528322813524
32 ThreeStates37 -249.822691080392
12 ThreeStates19 -249.820743647029
19 ThreeStates25 -249.81825997574
15 ThreeStates21 -249.818253303535
24 ThreeStates3 -249.818248561028
17 ThreeStates23 -249.818246507414
39 ThreeStates43 -240.987681243204
14 ThreeStates20 -240.720400684419
5 ThreeStates12 -240.708525192018
23 ThreeStates29 -240.462811662135
30 ThreeStates35 -240.461876314968
1 ThreeStates -240.461702235797
40 ThreeStates44 -240.461702235797
11 ThreeStates18 -240.443343239142
43 ThreeStates7 -240.4433126403
16 ThreeStates22 -240.443267084927
44 ThreeStates8 -225.482792638264
18 ThreeStates24 -225.328180225473
31 ThreeStates36 -222.256405429701
37 ThreeStates41 -222.250126582161
33 ThreeStates38 -222.231431055586
3 ThreeStates10 -222.221978275301
8 ThreeStates15 -222.219714652771
10 ThreeStates17 -222.21890011092
13 ThreeStates2 -222.218378282001
7 ThreeStates14 -222.217463571233
22 ThreeStates28 -222.21716066635
9 ThreeStates16 -222.215023566276
38 ThreeStates42 -222.212070363989
34 ThreeStates39 -222.211212314729
4 ThreeStates11 -222.209478020395
29 ThreeStates34 -222.209239477038
21 ThreeStates27 -222.209032324334
36 ThreeStates40 -222.208924109225
41 ThreeStates5 -222.208916035649
6 ThreeStates13 -222.208883897453
25 ThreeStates30 -222.208882588094
2 ThreeStates1 -222.208769157959
27 ThreeStates32 -220.707640303729
26 ThreeStates31 -219.642212702559
45 ThreeStates9 -219.630156495996
42 ThreeStates6 -219.630074872062
28 ThreeStates33 -219.599105441782
35 ThreeStates4 -217.022805679085
